rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
479,Emanuel Terry,F,PHX/MIA,3,7.7,-5.01,2.13,-2.88,-0.01,2019
442,Wesley Johnson,F,NO/WSH,38,14.1,-2.94,0.61,-2.33,-0.41,2019
444,Chandler Hutchison,SF,CHI,44,20.3,-3.11,0.76,-2.35,-0.68,2019
446,Scott Machado,G,LAL,4,4.8,-3.95,1.57,-2.38,-0.01,2019
448,Dragan Bender,F,PHX,46,18.0,-1.04,-1.36,-2.40,-0.74,2019
450,DeVaughn Akoon-Purcell,G,DEN,7,3.1,-4.02,1.58,-2.44,-0.02,2019
452,Ian Mahinmi,C,WSH,34,14.6,-2.94,0.47,-2.46,-0.45,2019
454,Brandon Sampson,G,CHI,14,15.3,-2.40,-0.09,-2.49,-0.16,2019
456,Mitchell Creek,G,BKN/MIN,5,9.6,-6.10,3.59,-2.51,-0.01,2019
458,Tyler Lydon,F,DEN,25,3.8,-3.53,1.01,-2.52,-0.06,2019
460,Ryan Anderson,PF,PHX/MIA,25,12.9,-3.35,0.81,-2.54,-0.31,2019
462,Jerian Grant,G,ORL,60,15.7,-2.72,0.15,-2.58,-0.81,2019
464,Josh Jackson,SG,PHX,79,25.2,-1.23,-1.36,-2.59,-1.98,2019
466,Jacob Evans,G,GS,30,6.8,-3.56,0.93,-2.63,-0.18,2019
468,Donatas Motiejunas,PF,SA,3,4.3,-3.76,1.12,-2.64,-0.01,2019
470,P.J. Tucker,PF,HOU,82,34.2,-2.95,0.29,-2.65,-2.81,2019
472,Mario Hezonja,F,NY,58,20.8,-1.58,-1.17,-2.76,-1.29,2019
474,Tristan Thompson,C,CLE,43,27.9,-2.14,-0.66,-2.79,-1.32,2019
476,Jonathon Simmons,G,ORL/PHI,56,19.0,-2.12,-0.69,-2.81,-1.13,2019
478,Markelle Fultz,PG,PHI,19,22.5,-1.74,-1.09,-2.82,-0.56,2019
480,Kostas Antetokounmpo,F,DAL,2,5.5,-4.42,1.49,-2.93,-0.01,2019
481,Cedi Osman,SF,CLE,76,32.2,-0.62,-2.35,-2.96,-2.96,2019
483,Jerryd Bayless,G,MIN,34,19.3,-1.97,-1.04,-3.01,-0.81,2019
485,Eric Moreland,C,TOR/PHX,5,8.6,-4.74,1.72,-3.02,-0.04,2019
487,Sindarius Thornwell,SG,LAC,64,4.9,-3.94,0.91,-3.02,-0.35,2019
489,Wayne Selden,G,MEM/CHI,75,19.2,-2.13,-0.99,-3.12,-1.81,2019
491,Naz Mitrou-Long,G,UTAH,14,6.0,-2.97,-0.20,-3.17,-0.11,2019
493,Jared Terrell,G,MIN,14,7.9,-3.91,0.70,-3.21,-0.14,2019
495,Troy Brown Jr.,SF,WSH,52,14.0,-2.09,-1.25,-3.34,-1.05,2019
497,Elie Okobo,G,PHX,53,18.1,-3.06,-0.32,-3.38,-1.43,2019
499,Alec Burks,SG,UTAH/CLE/SAC,64,21.5,-1.14,-2.27,-3.41,-2.10,2019
501,Cristiano Felicio,PF,CHI,60,12.4,-3.33,-0.23,-3.56,-1.07,2019
503,Marcus Morris Sr.,SF,BOS,75,27.9,-0.91,-2.69,-3.60,-3.68,2019
505,Willy Hernangomez,C,CHA,58,14.0,-1.15,-2.57,-3.71,-1.45,2019
507,Jawun Evans,G,PHX/OKC,8,8.1,-4.56,0.43,-4.14,-0.12,2019
509,Mo Bamba,C,ORL,47,16.3,-3.44,-1.08,-4.52,-1.60,2019
511,Collin Sexton,PG,CLE,82,31.8,-1.87,-3.41,-5.28,-7.31,2019
513,Wade Baldwin IV,G,POR,16,5.9,-4.95,-0.79,-5.74,-0.26,2019
482,Jordan Bell,F,GS,68,11.6,-2.68,-0.30,-2.98,-0.93,2019
484,Marcin Gortat,C,LAC,47,16.0,-2.16,-0.85,-3.01,-0.99,2019
486,Wendell Carter Jr.,C,CHI,44,25.2,-2.76,-0.26,-3.02,-1.44,2019
488,Drew Eubanks,PF,SA,23,4.9,-4.17,1.09,-3.08,-0.13,2019
490,Jose Calderon,G,DET,49,12.9,-3.48,0.33,-3.16,-0.80,2019
492,Jamal Crawford,G,PHX,64,18.9,-0.35,-2.83,-3.18,-1.66,2019
494,Nene Hilario,C,HOU,42,13.0,-2.86,-0.36,-3.22,-0.74,2019
496,Kosta Koufos,C,SAC,42,12.0,-3.72,0.34,-3.37,-0.77,2019
498,Chimezie Metu,PF,SA,29,5.0,-4.01,0.63,-3.38,-0.20,2019
500,Andrew Harrison,G,MEM/CLE/NO,17,11.0,-4.10,0.57,-3.54,-0.28,2019
502,Bismack Biyombo,C,CHA,54,14.5,-2.98,-0.61,-3.59,-1.35,2019
504,Dante Cunningham,F,SA,64,14.5,-2.77,-0.94,-3.71,-1.66,2019
506,Solomon Hill,SF,NO,44,20.0,-2.49,-1.26,-3.75,-1.55,2019
508,Caleb Swanigan,F,POR/SAC,21,8.5,-4.84,0.51,-4.33,-0.37,2019
510,Marquese Chriss,SF,HOU/CLE,43,11.6,-3.22,-1.45,-4.67,-1.15,2019
512,Kevin Knox II,SF,NY,75,28.8,-2.77,-2.89,-5.66,-6.95,2019
