rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
12,CJ McCollum,SG,NO,19,33.4,3.74,0.66,4.40,0.99,2024
14,Lauri Markkanen,PF,UTAH,22,33.3,3.51,0.76,4.28,1.79,2024
16,Desmond Bane,SG,MEM,29,34.4,3.73,-0.09,3.64,1.69,2024
18,Cam Thomas,SG,BKN,22,30.3,3.47,0.07,3.54,1.04,2024
20,Michael Porter Jr.,SF,DEN,33,31.3,2.32,1.13,3.46,1.26,2024
22,Kyrie Irving,PG,DAL,17,31.8,3.48,-0.18,3.31,1.25,2024
24,Mark Williams,C,CHA,19,26.7,1.54,1.66,3.20,0.91,2024
26,Anthony Davis,PF,LAL,30,35.5,0.76,2.33,3.08,1.42,2024
28,Matisse Thybulle,SG,POR,30,23.5,2.15,0.89,3.04,0.69,2024
30,Bogdan Bogdanovic,SG,ATL,28,28.6,2.57,0.29,2.86,1.17,2024
32,Damian Lillard,PG,MIL,29,35.1,3.87,-1.33,2.54,0.94,2024
34,Alex Caruso,SG,CHI,27,24.0,1.30,1.12,2.42,0.89,2024
36,Anthony Edwards,SG,MIN,27,34.5,2.79,-0.45,2.34,1.20,2024
38,Moses Moody,SG,GS,31,18.0,1.08,1.17,2.25,0.86,2024
40,Jalen Smith,PF,IND,18,15.9,1.87,0.28,2.15,0.62,2024
41,Goga Bitadze,C,ORL,27,19.9,0.04,2.07,2.12,0.41,2024
43,Danilo Gallinari,PF,WSH,26,14.8,2.30,-0.28,2.03,0.53,2024
45,Robert Covington,PF,LAC/PHI,27,17.3,-1.13,3.11,1.99,0.53,2024
47,Kyle Kuzma,SF,WSH,30,31.2,3.11,-1.16,1.95,0.95,2024
49,Jaylen Brown,SG,BOS,28,33.8,2.07,-0.22,1.85,0.95,2024
51,Jonathan Isaac,PF,ORL,21,13.6,-0.47,2.30,1.83,0.38,2024
53,Mikal Bridges,SF,BKN,31,33.9,1.63,0.07,1.69,1.09,2024
55,Kelly Oubre Jr.,SG,PHI,19,26.4,0.66,0.99,1.65,0.69,2024
57,Dario Saric,PF,GS,31,20.7,1.15,0.46,1.61,0.91,2024
59,Landry Shamet,SG,WSH,18,15.8,1.43,0.05,1.48,0.33,2024
61,Tyler Herro,PG,MIA,13,34.2,1.72,-0.28,1.44,0.73,2024
63,Herbert Jones,SF,NO,29,29.6,-0.30,1.73,1.43,0.72,2024
65,Derrick White,PG,BOS,27,32.7,0.83,0.57,1.40,0.62,2024
67,Mike Conley,PG,MIN,30,29.3,0.98,0.40,1.38,0.73,2024
69,Moritz Wagner,C,ORL,30,18.8,1.81,-0.45,1.36,0.64,2024
71,Bobby Portis,F,MIL,31,24.4,0.41,0.94,1.35,0.78,2024
73,Naz Reid,C,MIN,30,22.0,1.31,-0.00,1.31,0.74,2024
75,Jaden Hardy,G,DAL,27,14.6,2.01,-0.72,1.28,0.36,2024
77,Malik Monk,SG,SAC,28,24.8,2.89,-1.69,1.20,0.67,2024
79,Max Strus,SG,CLE,31,34.6,0.65,0.51,1.16,0.91,2024
42,Lonnie Walker IV,G,BKN,17,21.3,2.23,-0.20,2.03,0.84,2024
44,Dejounte Murray,SG,ATL,30,34.4,2.33,-0.33,2.00,1.17,2024
46,Malcolm Brogdon,PG,POR,23,28.3,2.64,-0.67,1.97,0.76,2024
48,Domantas Sabonis,PF,SAC,29,34.8,1.75,0.18,1.93,0.94,2024
50,Devin Booker,SG,PHX,21,36.0,3.53,-1.70,1.83,0.27,2024
52,Chet Holmgren,PF,OKC,29,29.9,0.07,1.66,1.73,0.97,2024
54,Keegan Murray,SF,SAC,25,32.6,0.35,1.32,1.66,0.87,2024
56,Tim Hardaway Jr.,SF,DAL,29,29.2,2.71,-1.07,1.64,1.14,2024
58,Jusuf Nurkic,C,PHX,28,28.0,-0.12,1.64,1.52,0.76,2024
60,Kevin Huerter,SG,SAC,28,25.0,0.69,0.75,1.44,0.62,2024
62,Kawhi Leonard,SF,LAC,27,34.5,0.79,0.64,1.43,1.00,2024
64,D'Angelo Russell,PG,LAL,31,29.4,2.40,-0.99,1.41,1.00,2024
66,Dwight Powell,C,DAL,29,14.7,0.89,0.51,1.40,0.55,2024
68,T.J. McConnell,PG,IND,22,14.9,0.81,0.55,1.36,0.29,2024
70,Obi Toppin,PF,IND,30,23.8,0.89,0.46,1.35,0.71,2024
72,Kevin Love,PF,MIA,24,18.5,1.02,0.29,1.31,0.33,2024
74,Immanuel Quickley,SG,NY,29,23.9,2.09,-0.79,1.30,0.75,2024
76,Devin Vassell,SG,SA,25,30.2,1.50,-0.27,1.23,0.77,2024
78,Onyeka Okongwu,PF,ATL,30,24.6,0.57,0.62,1.19,0.72,2024
80,Jaren Jackson Jr.,PF,MEM,30,31.4,1.09,0.04,1.13,0.85,2024
81,Alec Burks,SG,DET,24,18.3,1.33,-0.23,1.11,0.51,2024
83,Derrick Jones Jr.,SF,DAL,31,25.5,0.98,0.07,1.06,0.57,2024
85,Jae'Sean Tate,SF,HOU,27,17.6,-0.78,1.79,1.01,0.61,2024
87,Kevin Durant,PF,PHX,26,37.0,1.81,-0.84,0.97,0.94,2024
89,Julius Randle,PF,NY,30,35.5,0.72,0.23,0.95,0.76,2024
91,Marcus Sasser,G,DET,29,16.2,0.86,0.07,0.93,0.71,2024
93,Terry Rozier,SG,CHA,19,35.6,2.21,-1.33,0.89,0.46,2024
95,Sasha Vezenkov,F,SAC,26,13.3,0.53,0.34,0.87,0.38,2024
97,Buddy Hield,SG,IND,30,26.8,1.77,-0.93,0.84,0.77,2024
99,Karl-Anthony Towns,C,MIN,29,32.9,-0.03,0.80,0.78,0.76,2024
101,Zach LaVine,SG,CHI,18,35.3,1.23,-0.53,0.70,0.86,2024
103,Jabari Walker,F,POR,30,18.4,-1.11,1.79,0.68,0.38,2024
105,Clint Capela,C,ATL,29,26.0,-1.92,2.58,0.66,0.55,2024
107,Cameron Johnson,SF,BKN,23,28.5,0.92,-0.28,0.64,0.28,2024
109,Andre Drummond,C,CHI,33,14.5,-1.09,1.70,0.60,0.44,2024
111,Delon Wright,SG,WSH,9,17.2,-0.93,1.51,0.58,0.40,2024
113,Daniel Gafford,C,WSH,27,25.9,-0.96,1.49,0.53,0.39,2024
115,Chris Paul,PG,GS,28,27.4,-0.16,0.63,0.47,0.84,2024
117,Jimmy Butler,SF,MIA,23,34.0,0.08,0.34,0.42,0.60,2024
119,DeMar DeRozan,SF,CHI,31,36.6,-0.04,0.44,0.40,0.77,2024
82,Spencer Dinwiddie,PG,BKN,29,31.9,1.93,-0.84,1.09,0.72,2024
84,Aaron Nesmith,SF,IND,28,25.3,0.70,0.33,1.03,0.79,2024
86,Bam Adebayo,C,MIA,21,34.0,-0.57,1.55,0.98,0.79,2024
88,Nick Richards,C,CHA,23,22.6,0.17,0.78,0.95,0.52,2024
90,Caris LeVert,SG,CLE,23,29.3,1.15,-0.21,0.94,0.88,2024
92,Duncan Robinson,F,MIA,29,29.2,1.73,-0.84,0.89,0.84,2024
94,Julian Strawther,G,DEN,30,14.1,1.19,-0.31,0.88,0.23,2024
96,Haywood Highsmith,F,MIA,20,20.9,-0.63,1.50,0.87,0.43,2024
98,Anfernee Simons,SG,POR,11,34.2,1.06,-0.26,0.80,0.06,2024
100,Fred VanVleet,PG,HOU,28,37.7,1.54,-0.79,0.74,0.72,2024
102,Jalen Johnson,SF,ATL,16,29.9,0.13,0.56,0.68,0.75,2024
104,Keldon Johnson,SF,SA,29,32.5,0.39,0.27,0.66,0.73,2024
106,Charles Bassey,C,SA,19,10.8,-0.67,1.32,0.66,0.41,2024
108,Pascal Siakam,PF,TOR,30,34.6,0.92,-0.29,0.63,0.75,2024
110,Victor Wembanyama,C,SA,27,29.7,0.24,0.35,0.59,0.76,2024
112,Dennis Schroder,PG,TOR,30,31.9,1.30,-0.72,0.57,0.67,2024
114,Kelly Olynyk,PF,UTAH,30,21.8,0.71,-0.21,0.50,0.71,2024
116,Gordon Hayward,SF,CHA,25,31.9,-0.36,0.78,0.42,0.60,2024
118,Jonas Valanciunas,C,NO,32,27.7,-1.06,1.48,0.41,0.52,2024
120,Nikola Vucevic,C,CHI,31,34.0,-0.83,1.21,0.38,0.77,2024
121,Draymond Green,PF,GS,15,25.1,0.60,-0.24,0.36,0.38,2024
123,Skylar Mays,SG,POR,18,17.3,0.86,-0.53,0.32,0.33,2024
125,RJ Barrett,SG,NY,25,29.2,1.62,-1.32,0.30,0.40,2024
127,James Harden,SG,LAC,25,33.8,0.88,-0.60,0.28,0.32,2024
129,Luguentz Dort,G,OKC,28,28.3,-0.77,1.02,0.25,0.69,2024
131,Kevin Knox II,SF,DET,13,15.7,0.69,-0.51,0.18,0.15,2024
133,Jeff Green,PF,HOU,28,15.1,0.63,-0.46,0.17,0.33,2024
135,Isaiah Hartenstein,C,NY,30,21.9,-0.73,0.85,0.12,0.40,2024
137,Tobias Harris,PF,PHI,30,34.1,0.15,-0.05,0.10,0.69,2024
139,Jalen Suggs,SG,ORL,26,26.2,-1.57,1.62,0.06,0.49,2024
141,Dereck Lively II,C,DAL,26,25.2,-0.87,0.91,0.04,0.45,2024
143,Jaime Jaquez Jr.,G,MIA,31,29.3,-0.21,0.22,0.02,0.50,2024
145,Jarrett Allen,C,CLE,26,29.5,0.27,-0.31,-0.05,0.22,2024
147,Alex Len,C,SAC,7,6.1,-0.70,0.62,-0.08,0.09,2024
149,Franz Wagner,SF,ORL,30,33.8,-0.07,-0.08,-0.15,0.56,2024
151,Bismack Biyombo,C,MEM,24,24.4,-0.94,0.76,-0.17,0.25,2024
153,Naji Marshall,SF,NO,23,19.3,0.20,-0.38,-0.18,0.07,2024
155,Vince Williams Jr.,G,MEM,22,21.0,-0.36,0.12,-0.24,0.06,2024
157,Reggie Jackson,PG,DEN,33,24.3,0.13,-0.39,-0.26,0.47,2024
159,Trendon Watford,PF,BKN,22,14.1,-0.32,0.06,-0.26,0.19,2024
122,Aaron Gordon,PF,DEN,28,32.0,-0.39,0.73,0.34,0.69,2024
124,Gary Harris,SG,ORL,24,22.6,1.12,-0.81,0.31,0.24,2024
126,Ausar Thompson,F,DET,31,25.7,-1.56,1.86,0.30,0.75,2024
128,Brandon Ingram,SF,NO,29,33.9,1.69,-1.42,0.27,0.56,2024
130,Jabari Smith Jr.,PF,HOU,29,30.4,-0.22,0.42,0.20,0.47,2024
132,Quentin Grimes,SG,NY,28,20.8,0.18,-0.01,0.17,0.40,2024
134,Deni Avdija,SF,WSH,30,26.7,-0.17,0.31,0.14,0.49,2024
136,Jaden Ivey,PG,DET,27,25.4,1.08,-0.97,0.11,0.42,2024
138,Gary Payton II,SG,GS,14,17.3,-0.88,0.96,0.08,0.46,2024
140,Jacob Gilyard,G,MEM,20,15.6,-0.07,0.11,0.05,0.27,2024
142,John Collins,PF,UTAH,28,29.6,-0.55,0.57,0.02,0.62,2024
144,Jaylin Williams,F,OKC,24,11.9,-0.79,0.80,0.01,0.21,2024
146,Zach Collins,PF,SA,30,26.4,0.92,-0.97,-0.05,0.58,2024
148,Santi Aldama,PF,MEM,23,24.4,0.22,-0.34,-0.12,0.22,2024
150,Jalen Brunson,PG,NY,30,35.6,0.59,-0.75,-0.16,0.53,2024
152,Ousmane Dieng,F,OKC,18,11.2,0.60,-0.78,-0.18,0.22,2024
154,Mitchell Robinson,C,NY,21,29.2,-3.47,3.25,-0.23,0.42,2024
156,Dante Exum,G,DAL,28,19.3,-0.59,0.34,-0.25,0.18,2024
158,Eugene Omoruyi,F,WSH,16,5.8,-0.42,0.16,-0.26,0.07,2024
160,Jordan Poole,SG,WSH,29,29.5,0.86,-1.12,-0.27,0.46,2024
161,Eric Gordon,SG,PHX,26,32.0,0.29,-0.55,-0.27,0.45,2024
163,Corey Kispert,SF,WSH,29,22.8,1.01,-1.28,-0.27,0.45,2024
165,Ryan Rollins,G,WSH,10,6.6,-1.38,1.09,-0.28,0.07,2024
167,P.J. Washington,PF,CHA,26,29.7,0.09,-0.40,-0.30,0.49,2024
169,Jrue Holiday,PG,BOS,28,34.8,-0.62,0.29,-0.33,0.50,2024
171,Luke Kornet,C,BOS,17,12.9,-1.11,0.77,-0.34,0.18,2024
173,Christian Braun,G,DEN,33,19.8,-0.49,0.13,-0.36,0.40,2024
175,Xavier Tillman,F,MEM,18,20.8,-2.20,1.82,-0.38,0.27,2024
177,Kevon Looney,F,GS,31,21.2,-2.21,1.77,-0.43,0.41,2024
179,Paolo Banchero,PF,ORL,30,34.0,-0.18,-0.32,-0.50,0.49,2024
181,Cason Wallace,G,OKC,29,21.9,-0.52,-0.01,-0.53,0.38,2024
183,Saddiq Bey,SF,ATL,30,32.2,-0.50,-0.05,-0.56,0.46,2024
185,Rudy Gobert,C,MIN,30,32.4,-2.89,2.33,-0.56,0.44,2024
187,Tre Jones,PG,SA,26,23.3,0.13,-0.71,-0.58,0.42,2024
189,Cole Anthony,PG,ORL,30,25.2,0.48,-1.11,-0.63,0.41,2024
191,Jordan Goodwin,G,PHX,29,17.9,-1.36,0.71,-0.65,0.30,2024
193,Bennedict Mathurin,SG,IND,30,25.0,0.01,-0.66,-0.66,0.38,2024
195,Donte DiVincenzo,SG,NY,30,20.7,-0.54,-0.17,-0.70,0.31,2024
197,Killian Hayes,PG,DET,26,25.8,-1.72,1.00,-0.72,0.45,2024
199,Isaiah Joe,SG,OKC,29,20.2,-0.64,-0.09,-0.73,0.34,2024
162,Gabe Vincent,PG,LAL,5,25.4,-0.07,-0.20,-0.27,0.25,2024
164,Nic Claxton,C,BKN,21,27.2,-1.74,1.46,-0.28,0.14,2024
166,Day'Ron Sharpe,C,BKN,31,16.2,-0.51,0.22,-0.29,0.34,2024
168,Nassir Little,SF,PHX,23,15.7,-0.84,0.52,-0.32,0.11,2024
170,Norman Powell,G,LAC,30,25.4,0.69,-1.03,-0.34,0.49,2024
172,Chris Boucher,PF,TOR,27,14.0,-1.13,0.78,-0.35,0.21,2024
174,Andrew Nembhard,PG,IND,21,19.9,0.63,-1.00,-0.37,0.38,2024
176,Russell Westbrook,PG,LAC,30,24.3,-0.81,0.38,-0.43,0.46,2024
178,Robert Williams III,C,POR,6,19.8,-1.83,1.34,-0.49,0.23,2024
180,Isaiah Jackson,SF,IND,22,14.3,-1.73,1.21,-0.52,0.11,2024
182,Marcus Smart,PG,MEM,13,29.4,-0.04,-0.50,-0.53,0.48,2024
184,Jordan Hawkins,G,NO,27,23.9,-0.06,-0.50,-0.56,0.46,2024
186,Tari Eason,F,HOU,20,21.5,-1.35,0.77,-0.58,0.08,2024
188,Collin Gillespie,G,DEN,11,7.8,-0.51,-0.08,-0.59,0.13,2024
190,Dorian Finney-Smith,PF,BKN,28,29.4,-0.39,-0.24,-0.64,0.41,2024
192,Evan Mobley,PF,CLE,21,33.6,-1.77,1.12,-0.66,0.43,2024
194,Anthony Black,G,ORL,28,20.5,-0.16,-0.53,-0.69,0.21,2024
196,Miles McBride,PG,NY,18,4.6,-0.82,0.11,-0.71,0.04,2024
198,Brook Lopez,C,MIL,31,30.7,-1.94,1.21,-0.73,0.34,2024
200,Dyson Daniels,G,NO,32,22.9,-1.27,0.51,-0.75,0.41,2024
201,Cedi Osman,SF,SA,30,18.4,-0.01,-0.75,-0.76,0.38,2024
203,Bradley Beal,SG,PHX,6,25.2,0.49,-1.26,-0.77,0.11,2024
205,De'Andre Hunter,SF,ATL,24,30.3,-0.71,-0.07,-0.78,0.39,2024
207,Andre Jackson Jr.,G,MIL,25,10.2,-0.77,-0.02,-0.79,0.07,2024
209,Nikola Jovic,F,MIA,5,13.6,-1.53,0.64,-0.89,0.03,2024
211,Caleb Houstan,G,ORL,21,11.9,-0.63,-0.29,-0.92,0.04,2024
213,Luke Kennard,SG,MEM,8,21.5,-0.72,-0.24,-0.97,0.25,2024
215,Zion Williamson,PF,NO,26,30.8,0.50,-1.48,-0.98,0.33,2024
217,Klay Thompson,SG,GS,30,30.3,0.15,-1.16,-1.01,0.34,2024
219,Mason Plumlee,C,LAC,6,17.0,-1.42,0.38,-1.04,0.17,2024
221,Simone Fontecchio,F,UTAH,30,20.9,-0.07,-0.99,-1.06,0.13,2024
223,Drew Eubanks,PF,PHX,28,17.0,-1.26,0.20,-1.06,0.23,2024
225,Jalen Green,SG,HOU,29,30.0,-0.34,-0.74,-1.08,0.30,2024
227,Bilal Coulibaly,SG,WSH,29,26.7,-1.61,0.51,-1.10,0.30,2024
229,Jakob Poeltl,C,TOR,30,25.8,-1.79,0.67,-1.12,0.23,2024
231,Armoni Brooks,G,BKN,8,11.6,-0.89,-0.25,-1.14,0.07,2024
233,David Roddy,F,MEM,28,23.7,-0.94,-0.21,-1.15,0.32,2024
235,Paul Reed,SF,PHI,30,14.4,-1.57,0.39,-1.19,0.16,2024
237,Jae Crowder,PF,MIL,9,26.7,-1.45,0.25,-1.20,0.27,2024
239,Jonathan Kuminga,PF,GS,30,21.7,-0.62,-0.62,-1.24,0.27,2024
202,Olivier Sarr,C,OKC,7,9.1,-1.72,0.95,-0.77,0.06,2024
204,Collin Sexton,PG,UTAH,32,23.6,1.34,-2.11,-0.77,0.38,2024
206,Peyton Watson,F,DEN,31,17.2,-1.37,0.59,-0.78,0.26,2024
208,Keita Bates-Diop,SF,PHX,22,17.6,-1.82,1.02,-0.80,0.19,2024
210,Duop Reath,C,POR,20,15.3,-0.52,-0.39,-0.91,0.03,2024
212,Coby White,PG,CHI,33,34.9,-0.84,-0.13,-0.96,0.37,2024
214,John Konchar,SG,MEM,24,18.0,-2.13,1.16,-0.97,0.21,2024
216,Ayo Dosunmu,SG,CHI,31,21.9,-0.65,-0.33,-0.98,0.19,2024
218,Brandin Podziemski,G,GS,25,23.0,-0.53,-0.50,-1.03,0.12,2024
220,Brandon Miller,F,CHA,26,31.3,-0.46,-0.59,-1.05,0.30,2024
222,Amen Thompson,F,HOU,10,14.7,-0.45,-0.61,-1.06,0.09,2024
224,Tyus Jones,PG,WSH,30,27.9,-1.13,0.06,-1.07,0.27,2024
226,Patrick Beverley,PG,PHI,29,17.1,-1.46,0.36,-1.10,0.21,2024
228,Jamal Murray,PG,DEN,19,29.5,0.79,-1.91,-1.12,0.20,2024
230,Deandre Ayton,C,POR,24,31.7,-3.89,2.75,-1.14,0.31,2024
232,AJ Green,G,MIL,21,7.2,-0.88,-0.26,-1.14,0.05,2024
234,Bones Hyland,PG,LAC,15,15.1,0.44,-1.60,-1.17,0.22,2024
236,Dru Smith,G,MIA,9,14.6,-1.50,0.31,-1.19,0.14,2024
238,De'Anthony Melton,SG,PHI,29,29.3,-1.61,0.41,-1.20,0.27,2024
240,Isaac Okoro,SF,CLE,22,26.0,-1.66,0.42,-1.24,0.16,2024
241,Jamal Cain,F,MIA,10,15.8,-1.29,0.04,-1.25,0.04,2024
243,Malik Beasley,SG,MIL,29,29.5,-1.68,0.41,-1.28,0.23,2024
245,Jerami Grant,SF,POR,26,35.0,0.01,-1.31,-1.30,0.32,2024
247,Cam Reddish,SF,LAL,26,24.7,-2.49,1.11,-1.38,0.22,2024
249,Austin Reaves,SG,LAL,32,29.2,-0.68,-0.70,-1.38,0.29,2024
251,Omer Yurtseven,C,UTAH,19,12.1,-1.50,0.09,-1.41,0.03,2024
253,Jalen Duren,C,DET,16,29.8,-1.59,0.16,-1.42,0.18,2024
255,Orlando Robinson,C,MIA,13,16.2,-1.26,-0.21,-1.47,0.03,2024
257,Devonte' Graham,PG,SA,6,10.0,-1.21,-0.28,-1.50,0.02,2024
259,Kobe Brown,G,LAC,20,10.8,-1.36,-0.16,-1.52,0.05,2024
261,Marvin Bagley III,PF,DET,24,19.0,-0.38,-1.17,-1.54,0.20,2024
263,Jevon Carter,PG,CHI,33,14.4,-0.69,-0.88,-1.57,0.16,2024
265,Kenneth Lofton Jr.,F,MEM,15,6.6,-1.51,-0.11,-1.62,0.07,2024
267,Payton Pritchard,PG,BOS,30,20.4,-0.59,-1.05,-1.63,0.15,2024
269,Craig Porter,G,CLE,20,17.4,-1.76,0.09,-1.66,0.04,2024
271,Darius Garland,PG,CLE,20,34.0,0.30,-1.97,-1.67,0.13,2024
273,Shaedon Sharpe,SG,POR,26,35.0,-0.61,-1.13,-1.75,0.24,2024
275,James Wiseman,C,DET,20,14.2,-1.69,-0.08,-1.77,0.04,2024
277,Aaron Wiggins,SG,OKC,27,12.2,-1.48,-0.36,-1.84,0.06,2024
279,Ivica Zubac,C,LAC,30,26.6,-2.60,0.75,-1.85,0.12,2024
242,Keyonte George,G,UTAH,26,25.5,0.32,-1.59,-1.27,0.29,2024
244,Jake LaRavia,F,MEM,8,12.4,-0.69,-0.61,-1.30,0.08,2024
246,Josh Okogie,SF,PHX,25,20.5,-1.03,-0.29,-1.31,0.23,2024
248,Trayce Jackson-Davis,F,GS,21,11.6,-1.32,-0.06,-1.38,0.07,2024
250,Pat Connaughton,SG,MIL,25,22.0,-0.88,-0.51,-1.39,0.23,2024
252,Harrison Barnes,SF,SAC,29,31.0,-0.90,-0.52,-1.42,0.20,2024
254,Jalen Williams,F,OKC,26,31.9,-0.61,-0.84,-1.45,0.28,2024
256,Tre Mann,PG,OKC,12,8.5,-1.38,-0.11,-1.49,0.02,2024
258,Bruce Brown,SF,IND,27,30.7,-1.94,0.44,-1.50,0.26,2024
260,Kyle Anderson,SF,MIN,30,23.3,-1.23,-0.31,-1.54,0.23,2024
262,MarJon Beauchamp,F,MIL,27,15.3,-0.46,-1.08,-1.54,0.14,2024
264,Moussa Diabate,F,LAC,9,6.1,-1.37,-0.21,-1.58,0.04,2024
266,AJ Griffin,F,ATL,12,9.2,-0.64,-1.00,-1.63,0.06,2024
268,Dean Wade,PF,CLE,24,22.3,-2.32,0.66,-1.66,0.12,2024
270,Talen Horton-Tucker,SG,UTAH,29,22.3,-1.00,-0.67,-1.67,0.17,2024
272,Troy Brown Jr.,SF,MIN,26,13.5,-1.75,0.02,-1.73,0.04,2024
274,Jordan Clarkson,PG,UTAH,22,30.3,0.43,-2.19,-1.76,0.21,2024
276,Sam Merrill,SG,CLE,16,11.1,-1.69,-0.13,-1.82,0.02,2024
278,JaVale McGee,C,SAC,26,8.6,-1.33,-0.52,-1.85,0.05,2024
280,Matt Ryan,F,NO,13,22.9,-0.64,-1.22,-1.85,0.14,2024
281,Nickeil Alexander-Walker,SG,MIN,30,23.0,-2.29,0.44,-1.85,0.11,2024
283,Luka Samanic,F,UTAH,14,6.6,-1.87,-0.01,-1.88,0.01,2024
285,Seth Curry,SG,DAL,25,13.3,-2.08,0.18,-1.90,0.04,2024
287,Ben Sheppard,G,IND,12,7.5,-1.47,-0.45,-1.92,0.01,2024
289,Julian Champagnie,F,SA,23,13.7,-2.75,0.82,-1.93,0.03,2024
291,Walker Kessler,C,UTAH,24,25.0,-2.66,0.70,-1.95,0.08,2024
293,Doug McDermott,SF,SA,28,15.7,-0.40,-1.56,-1.97,0.11,2024
295,Dillon Brooks,SF,HOU,28,30.9,-1.93,-0.13,-2.05,0.10,2024
297,Yuta Watanabe,SF,PHX,21,16.2,-1.38,-0.71,-2.09,0.08,2024
299,Otto Porter Jr.,SF,TOR,13,12.2,-3.11,1.00,-2.11,0.03,2024
301,Malaki Branham,G,SA,30,22.6,-0.98,-1.15,-2.14,0.08,2024
303,Sandro Mamukelashvili,PF,SA,15,6.9,-2.15,-0.02,-2.16,0.01,2024
305,Josh Hart,SG,NY,30,28.0,-2.90,0.72,-2.19,0.08,2024
307,Zeke Nnaji,PF,DEN,27,10.3,-2.29,0.09,-2.21,0.04,2024
309,Jarace Walker,F,IND,8,10.5,-2.61,0.39,-2.21,0.01,2024
311,Ochai Agbaji,G,UTAH,32,21.3,-2.13,-0.18,-2.31,0.05,2024
313,Marcus Morris Sr.,SF,PHI,22,14.7,-2.29,-0.06,-2.34,0.01,2024
315,Svi Mykhailiuk,SG,BOS,11,7.5,-1.91,-0.44,-2.35,0.01,2024
317,D'Moi Hodge,G,LAL,7,5.9,-2.03,-0.34,-2.36,0.00,2024
319,Josh Minott,F,MIN,12,2.6,-2.23,-0.15,-2.38,0.00,2024
282,Jared Rhoden,G,DET,5,6.0,-1.37,-0.50,-1.88,0.02,2024
284,Jalen Pickett,G,DEN,13,6.3,-1.63,-0.26,-1.89,0.01,2024
286,Jett Howard,G,ORL,9,4.0,-1.72,-0.20,-1.92,0.01,2024
288,Al Horford,C,BOS,26,26.9,-2.21,0.29,-1.93,0.09,2024
290,Dennis Smith Jr.,PG,BKN,17,18.7,-1.32,-0.62,-1.95,0.10,2024
292,KJ Martin,F,LAC/PHI,19,6.3,-1.71,-0.25,-1.95,0.03,2024
294,Jaden McDaniels,PF,MIN,20,26.7,-1.50,-0.54,-2.04,0.07,2024
296,Chuma Okeke,PF,ORL,14,5.4,-1.89,-0.17,-2.06,0.01,2024
298,Emoni Bates,F,CLE,10,7.6,-1.85,-0.24,-2.09,0.01,2024
300,Malachi Flynn,PG,TOR,30,15.6,-1.67,-0.45,-2.12,0.05,2024
302,Josh Green,SG,DAL,20,24.5,-1.76,-0.39,-2.15,0.10,2024
304,Dalano Banton,G,BOS,13,7.5,-1.95,-0.23,-2.18,0.01,2024
306,Kira Lewis Jr.,PG,NO,13,10.1,-1.63,-0.57,-2.20,0.04,2024
308,Anthony Gill,PF,WSH,20,6.6,-2.27,0.06,-2.21,0.01,2024
310,Boban Marjanovic,C,HOU,3,6.7,-2.40,0.15,-2.25,0.01,2024
312,Taurean Prince,PF,LAL,30,30.7,-2.13,-0.19,-2.32,0.05,2024
314,Georges Niang,SF,CLE,31,22.2,-1.76,-0.58,-2.34,0.05,2024
