rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
1,Nikola Jokic,C,DEN,32,33.6,6.82,0.92,7.73,2.64,2024
3,Jayson Tatum,SF,BOS,29,37.0,4.98,1.00,5.98,1.94,2024
5,Joel Embiid,C,PHI,25,34.2,5.40,0.25,5.66,1.94,2024
7,Shai Gilgeous-Alexander,PG,OKC,28,34.8,3.49,1.80,5.28,2.09,2024
9,Tyrese Maxey,PG,PHI,29,37.3,4.38,0.33,4.71,1.91,2024
11,De'Aaron Fox,PG,SAC,23,35.1,5.22,-0.77,4.45,0.68,2024
13,Sam Hauser,SF,BOS,30,22.4,3.58,0.71,4.29,1.00,2024
15,Paul George,F,LAC,28,34.5,3.22,0.92,4.14,1.56,2024
17,Scottie Barnes,SF,TOR,30,35.0,1.49,2.15,3.64,1.43,2024
19,Myles Turner,C,IND,29,27.3,2.29,1.20,3.49,1.22,2024
21,Khris Middleton,SF,MIL,26,24.4,3.96,-0.53,3.43,0.54,2024
23,LeBron James,SF,LAL,29,34.0,3.25,0.01,3.26,1.36,2024
25,Giannis Antetokounmpo,PF,MIL,30,34.7,3.73,-0.58,3.16,1.30,2024
27,Alperen Sengun,C,HOU,29,32.0,2.74,0.31,3.05,1.06,2024
29,LaMelo Ball,PG,CHA,15,33.4,4.11,-1.19,2.92,1.20,2024
31,Nicolas Batum,PF,LAC/PHI,20,23.9,1.72,0.99,2.71,0.69,2024
33,Keon Ellis,G,SAC,22,13.6,2.22,0.32,2.54,0.34,2024
35,Rui Hachimura,PF,LAL,23,24.4,1.44,0.91,2.35,0.53,2024
37,Trae Young,PG,ATL,28,36.4,4.18,-1.90,2.29,1.05,2024
39,O.G. Anunoby,SF,TOR,26,33.2,1.80,0.44,2.24,0.77,2024
2,Tyrese Haliburton,PG,IND,27,34.1,7.77,-0.32,7.45,2.50,2024
4,Luka Doncic,PG,DAL,29,37.0,6.80,-0.97,5.84,2.29,2024
6,Stephen Curry,PG,GS,29,33.4,7.36,-1.72,5.64,2.03,2024
8,Donovan Mitchell,SG,CLE,22,36.5,4.49,0.51,5.01,1.75,2024
10,Kristaps Porzingis,C,BOS,22,30.7,3.62,0.86,4.48,1.32,2024
