rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
34,Langston Galloway,SG,DET,58,14.9,0.35,2.51,2.86,2.30,2018
36,Kevin Durant,PF,GS,68,34.2,4.66,-1.88,2.78,7.19,2018
38,JJ Redick,SG,PHI,70,30.2,3.54,-0.96,2.59,6.26,2018
40,Delon Wright,SG,TOR,69,20.8,-0.05,2.50,2.46,3.59,2018
41,Gerald Green,G,HOU,41,22.7,2.06,0.39,2.45,2.42,2018
43,Mike Conley,PG,MEM,12,31.1,0.38,1.97,2.35,0.85,2018
45,Terry Rozier,SG,BOS,80,25.9,0.15,2.18,2.32,5.07,2018
47,J.J. Barea,G,DAL,69,23.2,3.96,-1.73,2.23,4.01,2018
49,Marreese Speights,F,ORL,52,13.0,1.67,0.53,2.19,1.69,2018
51,Donovan Mitchell,SG,UTAH,79,33.4,1.01,0.94,1.95,6.47,2018
53,Josh Hart,SG,LAL,63,23.2,0.94,0.97,1.91,3.47,2018
55,Tyus Jones,PG,MIN,82,17.9,-0.29,2.18,1.89,3.04,2018
57,Lonzo Ball,PG,LAL,52,34.2,1.29,0.59,1.88,4.37,2018
59,Pat Connaughton,SG,POR,82,18.1,-0.80,2.66,1.86,3.08,2018
61,Andre Ingram,G,LAL,2,32.0,0.91,0.88,1.78,0.15,2018
63,Spencer Dinwiddie,PG,BKN,80,28.8,1.21,0.56,1.77,5.22,2018
65,Kyle Kuzma,SF,LAL,77,31.2,1.10,0.66,1.76,5.48,2018
67,Gary Harris,SG,DEN,67,34.4,1.64,0.05,1.68,5.15,2018
69,Pascal Siakam,PF,TOR,81,20.7,0.27,1.36,1.63,3.49,2018
71,Jordan Clarkson,PG,LAL/CLE,81,23.3,0.58,1.03,1.60,3.84,2018
73,Danilo Gallinari,PF,LAC,21,32.0,0.24,1.34,1.58,1.46,2018
75,Joe Harris,SF,BKN,78,25.3,1.01,0.53,1.53,4.01,2018
77,Yogi Ferrell,PG,DAL,82,27.8,-1.17,2.69,1.52,4.54,2018
79,Chris McCullough,F,WSH,19,4.7,-0.97,2.45,1.49,0.16,2018
42,Antonio Blakeney,G,CHI,19,16.5,1.74,0.63,2.37,0.84,2018
44,Steven Adams,C,OKC,76,32.7,1.48,0.84,2.32,6.90,2018
46,Kristaps Porzingis,C,NY,48,32.4,-0.38,2.69,2.31,4.15,2018
48,Trey Burke,PG,NY,36,21.8,2.56,-0.36,2.20,2.00,2018
50,MarShon Brooks,G,MEM,7,27.6,2.66,-0.55,2.11,0.47,2018
52,Karl-Anthony Towns,C,MIN,82,35.6,2.10,-0.16,1.94,6.89,2018
54,David West,F,GS,73,13.7,-0.52,2.41,1.90,2.23,2018
56,CJ McCollum,SG,POR,81,36.1,0.88,0.99,1.88,7.03,2018
58,Justin Anderson,F,PHI,38,13.7,1.02,0.85,1.87,1.05,2018
60,Mirza Teletovic,PF,MIL,10,15.9,0.90,0.91,1.81,0.30,2018
62,Allen Crabbe,G,BKN,75,29.3,1.50,0.28,1.78,5.11,2018
64,Joe Ingles,SG,UTAH,82,31.5,1.17,0.60,1.76,5.95,2018
66,Will Barton,G,DEN,81,33.1,2.29,-0.59,1.70,5.93,2018
68,Jonathan Gibson,G,BOS,4,10.0,1.39,0.29,1.68,0.07,2018
70,Paul George,F,OKC,79,36.6,1.82,-0.19,1.63,6.38,2018
72,Royce O'Neale,PF,UTAH,69,16.7,-1.29,2.88,1.59,2.24,2018
74,Anthony Tolliver,PF,DET,79,22.2,0.43,1.12,1.55,3.54,2018
76,Boban Marjanovic,C,DET/LAC,39,8.7,0.67,0.85,1.52,0.63,2018
78,Dario Saric,PF,PHI,78,29.6,2.01,-0.49,1.52,4.99,2018
80,Kawhi Leonard,SF,SA,9,23.3,1.46,0.01,1.47,0.46,2018
81,Andre Iguodala,F,GS,64,25.4,-1.34,2.78,1.44,3.32,2018
83,Omari Johnson,F,MEM,4,18.8,-0.48,1.87,1.39,0.11,2018
85,Damyean Dotson,SG,NY,44,10.8,-0.38,1.74,1.36,0.83,2018
87,Jeremy Lamb,SG,CHA,80,24.6,1.63,-0.31,1.33,3.73,2018
89,Darren Collison,PG,IND,69,29.2,1.47,-0.16,1.31,3.89,2018
91,Thabo Sefolosha,F,UTAH,38,21.2,-1.57,2.85,1.29,1.42,2018
93,Rudy Gobert,C,UTAH,56,32.4,-1.22,2.47,1.26,3.58,2018
95,Shaquille Harrison,G,PHX,23,16.7,0.72,0.49,1.21,0.74,2018
97,Sean Kilpatrick,G,BKN/MIL/LAC/CHI,52,12.3,1.69,-0.56,1.13,1.04,2018
99,Dwight Powell,C,DAL,79,21.2,-0.63,1.76,1.12,2.99,2018
101,Ekpe Udoh,F,UTAH,63,12.9,-2.74,3.83,1.09,1.38,2018
103,Otto Porter Jr.,SF,WSH,77,31.6,-0.13,1.16,1.03,4.27,2018
105,Luke Kornet,C,NY,20,16.4,-0.29,1.28,0.99,0.51,2018
107,Channing Frye,F,CLE/LAL,53,13.1,-0.06,1.04,0.98,1.05,2018
109,Ersan Ilyasova,PF,ATL/PHI,69,25.1,-0.01,0.96,0.96,2.88,2018
111,Danny Green,F,SA,70,25.6,-0.64,1.57,0.93,2.96,2018
113,Ian Clark,G,NO,74,19.6,-1.04,1.93,0.89,2.31,2018
115,Markelle Fultz,PG,PHI,14,18.1,-0.28,1.10,0.83,0.35,2018
117,Jared Dudley,SF,PHX,48,14.3,-0.66,1.47,0.81,0.85,2018
119,Luke Kennard,SG,DET,73,20.0,-0.53,1.29,0.76,2.15,2018
82,Jordan Crawford,G,NO,5,10.6,1.02,0.39,1.41,0.07,2018
84,Wayne Ellington,SG,MIA,77,26.5,0.71,0.67,1.38,3.85,2018
86,Devin Booker,SG,PHX,54,34.5,3.84,-2.47,1.36,3.91,2018
88,Ben Simmons,PG,PHI,81,33.7,1.22,0.11,1.32,5.58,2018
90,Tomas Satoransky,SG,WSH,73,22.5,0.63,0.66,1.29,3.19,2018
92,Trevor Ariza,SF,HOU,67,33.9,1.29,-0.01,1.28,4.40,2018
94,Denzel Valentine,G,CHI,77,27.2,0.68,0.54,1.23,4.04,2018
96,Travis Wear,F,LAL,17,13.4,-0.74,1.91,1.18,0.42,2018
98,Reggie Bullock Jr.,SF,DET,62,27.9,0.52,0.61,1.13,3.18,2018
100,Rodney McGruder,G,MIA,18,16.6,0.08,1.02,1.10,0.50,2018
102,Goran Dragic,PG,MIA,75,31.7,0.67,0.39,1.07,4.36,2018
104,Luc Mbah a Moute,F,HOU,61,25.6,-1.75,2.76,1.01,2.47,2018
106,Bryn Forbes,SG,SA,80,19.0,-0.84,1.83,0.98,2.40,2018
108,Trey Lyles,PF,DEN,73,19.1,-0.01,0.98,0.97,2.26,2018
110,Draymond Green,PF,GS,70,32.7,1.79,-0.86,0.93,4.10,2018
112,Troy Daniels,G,PHX,79,20.5,0.56,0.37,0.92,2.64,2018
114,Malcolm Brogdon,PG,MIL,48,29.9,-0.52,1.39,0.88,1.98,2018
116,Jamil Wilson,SF,LAC,15,18.3,-0.31,1.12,0.82,0.45,2018
118,RJ Hunter,G,HOU,5,9.0,-0.31,1.08,0.77,0.07,2018
120,Andre Roberson,F,OKC,39,26.6,-2.19,2.89,0.71,1.63,2018
121,Jayson Tatum,SF,BOS,80,30.5,-1.00,1.71,0.70,3.66,2018
123,Jabari Parker,PF,MIL,31,24.0,0.54,0.16,0.70,1.03,2018
125,Damion Lee,SG,ATL,15,26.9,-0.19,0.88,0.69,0.65,2018
127,DeMarre Carroll,F,BKN,73,29.9,1.19,-0.53,0.66,3.31,2018
129,Gary Payton II,SG,MIL/LAL,23,9.6,-0.24,0.84,0.60,0.31,2018
131,Kevin Love,PF,CLE,59,28.0,2.88,-2.29,0.58,2.47,2018
133,Shabazz Muhammad,F,MIN/MIL,43,9.7,0.97,-0.41,0.56,0.57,2018
135,Evan Fournier,SG,ORL,57,32.2,1.88,-1.34,0.53,2.65,2018
137,Tobias Harris,PF,DET/LAC,80,33.4,1.03,-0.53,0.51,3.77,2018
139,John Collins,PF,ATL,74,24.1,-1.08,1.57,0.49,2.47,2018
141,Willy Hernangomez,C,NY/CHA,48,10.3,-0.64,1.11,0.46,0.64,2018
143,Carmelo Anthony,PF,OKC,78,32.1,0.34,0.11,0.45,3.48,2018
145,CJ Miles,G,TOR,70,19.1,0.59,-0.18,0.41,1.71,2018
147,Thaddeus Young,PF,IND,81,32.2,-1.56,1.93,0.37,3.30,2018
149,Hassan Whiteside,C,MIA,54,25.3,-0.68,1.05,0.36,1.82,2018
151,Brandon Jennings,G,MIL,14,14.6,1.14,-0.79,0.35,0.25,2018
153,Kelly Olynyk,PF,MIA,76,23.4,1.57,-1.23,0.34,2.23,2018
155,Dwyane Wade,G,CLE/MIA,67,22.9,-1.56,1.85,0.30,1.70,2018
157,Ivica Zubac,C,LAL,43,9.5,-1.78,2.05,0.28,0.48,2018
159,Nick Young,G,GS,80,17.4,-0.72,0.99,0.27,1.61,2018
122,Tyler Cavanaugh,F,ATL,39,13.3,0.08,0.63,0.70,0.78,2018
124,Amir Johnson,F,PHI,74,15.8,-0.09,0.78,0.70,1.88,2018
126,Joel Embiid,C,PHI,63,30.3,0.33,0.37,0.69,2.98,2018
128,Doug McDermott,SF,NY/DAL,81,21.8,-0.57,1.22,0.65,2.55,2018
130,Josh Richardson,SG,MIA,81,33.2,-1.66,2.25,0.59,3.98,2018
132,Richaun Holmes,F,PHI,48,15.5,0.61,-0.04,0.58,1.00,2018
134,Jerami Grant,SF,OKC,81,20.3,-1.49,2.03,0.54,2.17,2018
136,Sam Dekker,F,LAC,73,12.1,-0.66,1.17,0.51,1.23,2018
138,Dakari Johnson,C,OKC,31,5.2,-1.73,2.24,0.50,0.22,2018
140,Khris Middleton,SF,MIL,82,36.4,1.18,-0.70,0.48,4.08,2018
142,Bojan Bogdanovic,SF,IND,80,30.8,1.12,-0.67,0.46,3.35,2018
144,Marvin Williams,F,CHA,78,25.7,0.48,-0.04,0.45,2.79,2018
146,Shabazz Napier,G,POR,74,20.7,-1.85,2.23,0.38,1.80,2018
148,Timothe Luwawu-Cabarrot,SG,PHI,52,15.5,0.47,-0.10,0.37,1.04,2018
150,Kyle Anderson,SF,SA,74,26.7,-1.37,1.73,0.36,2.56,2018
152,Aaron Jackson,F,HOU,1,35.0,-0.48,0.83,0.35,0.04,2018
154,Dewayne Dedmon,C,ATL,62,24.9,-1.00,1.31,0.32,1.94,2018
156,Jonas Jerebko,F,UTAH,74,15.3,-0.58,0.87,0.28,1.34,2018
158,Khem Birch,C,ORL,42,13.8,-2.63,2.91,0.28,0.63,2018
160,Isaiah Canaan,G,HOU/PHX,20,21.1,0.05,0.20,0.25,0.45,2018
161,Kentavious Caldwell-Pope,SG,LAL,74,33.2,0.74,-0.51,0.23,3.10,2018
163,Kyle O'Quinn,C,NY,77,18.0,0.11,0.10,0.21,1.62,2018
165,Daniel Theis,C,BOS,63,14.8,-1.47,1.67,0.21,1.04,2018
167,Marcus Smart,PG,BOS,54,29.9,-1.25,1.43,0.18,1.79,2018
169,Devin Harris,G,DAL/DEN,71,18.9,0.66,-0.55,0.11,1.48,2018
171,Derrick Favors,F,UTAH,77,28.0,-0.18,0.28,0.10,2.45,2018
173,Jakob Poeltl,C,TOR,82,18.6,-1.33,1.42,0.09,1.59,2018
175,Jordan Bell,F,GS,57,14.2,-0.15,0.22,0.07,0.87,2018
177,Bobby Portis,F,CHI,73,22.5,1.70,-1.64,0.06,1.78,2018
179,Dante Exum,G,UTAH,14,16.8,0.17,-0.14,0.03,0.25,2018
181,Milton Doyle,G,BKN,10,12.5,-2.11,2.13,0.02,0.11,2018
183,JaVale McGee,C,GS,65,9.5,0.70,-0.68,0.02,0.68,2018
185,Isaiah Taylor,G,ATL,67,17.4,-1.05,1.05,-0.01,1.19,2018
187,Rodney Purvis,G,ORL,16,18.1,-0.92,0.90,-0.02,0.28,2018
189,Rashad Vaughn,G,MIL/BKN/ORL,28,7.6,-0.68,0.65,-0.03,0.19,2018
191,Dejounte Murray,SG,SA,81,21.5,-3.09,3.04,-0.05,1.67,2018
193,Ryan Anderson,PF,HOU,66,26.1,0.78,-0.84,-0.06,1.76,2018
195,Brandan Wright,F,MEM/HOU,28,13.6,-2.01,1.93,-0.08,0.36,2018
197,Bruno Caboclo,F,TOR/SAC,12,8.9,-1.60,1.51,-0.10,0.10,2018
199,Tyler Johnson,G,MIA,72,28.5,0.12,-0.24,-0.11,2.00,2018
162,Aaron Harrison,G,DAL,9,25.9,-0.83,1.06,0.22,0.26,2018
164,Dirk Nowitzki,F,DAL,77,24.7,0.63,-0.43,0.21,2.28,2018
166,Trevor Booker,F,BKN/PHI/IND,68,17.0,-0.94,1.13,0.19,1.27,2018
168,Andrew White III,F,ATL,15,13.9,-0.72,0.84,0.12,0.25,2018
170,James Johnson,PF,MIA,73,26.6,-0.14,0.24,0.10,2.18,2018
172,Malik Beasley,SG,DEN,62,9.5,-0.37,0.46,0.10,0.61,2018
174,Paul Millsap,PF,DEN,38,30.1,-0.40,0.48,0.08,1.24,2018
176,Josh Magette,PG,ATL,18,12.0,-0.48,0.54,0.07,0.23,2018
178,Troy Williams,F,HOU/NY,21,14.6,0.32,-0.27,0.06,0.32,2018
180,Shelvin Mack,G,ORL,69,19.8,-0.19,0.21,0.02,1.38,2018
182,Gian Clavell,SG,DAL,7,9.1,-1.14,1.16,0.02,0.07,2018
184,Avery Bradley,PG,DET/LAC,46,31.2,-1.36,1.38,0.02,1.54,2018
186,Raul Neto,PG,UTAH,41,12.1,-1.86,1.85,-0.01,0.47,2018
188,James Ennis III,F,MEM/DET,72,22.3,-1.45,1.42,-0.03,1.54,2018
190,Marco Belinelli,G,ATL/PHI,80,24.3,0.67,-0.71,-0.04,1.89,2018
192,Jose Calderon,G,CLE,57,16.0,-1.32,1.27,-0.05,0.93,2018
194,Raymond Felton,G,OKC,82,16.6,-2.67,2.60,-0.07,1.22,2018
196,Rodney Hood,SG,UTAH/CLE,60,26.9,0.21,-0.29,-0.08,1.50,2018
198,Jeff Green,PF,CLE,78,23.4,-1.12,1.02,-0.10,1.57,2018
200,Cedi Osman,SF,CLE,61,11.0,0.03,-0.15,-0.12,0.59,2018
201,Nemanja Bjelica,PF,MIN,67,20.5,-0.45,0.31,-0.14,1.28,2018
203,E'Twaun Moore,G,NO,82,31.5,0.69,-0.85,-0.17,2.50,2018
205,Justin Holiday,SF,CHI,72,31.5,-0.07,-0.15,-0.22,2.09,2018
207,Treveon Graham,F,CHA,63,16.7,-2.12,1.89,-0.23,0.83,2018
209,Jeff Teague,PG,MIN,70,33.0,1.24,-1.51,-0.26,1.98,2018
211,D.J. Augustin,G,ORL,75,23.5,0.62,-0.91,-0.29,1.51,2018
213,Rajon Rondo,PG,NO,65,26.2,2.97,-3.26,-0.30,1.57,2018
215,Kent Bazemore,SF,ATL,65,27.5,0.37,-0.67,-0.30,1.51,2018
217,Nikola Vucevic,C,ORL,57,29.5,1.68,-1.99,-0.32,1.46,2018
219,Jamel Artis,F,ORL,15,18.6,-2.24,1.90,-0.34,0.21,2018
221,Quincy Acy,F,BKN,70,19.4,-1.80,1.43,-0.37,0.95,2018
223,Mario Hezonja,F,ORL,75,22.1,-0.54,0.16,-0.38,1.26,2018
225,Chinanu Onuaku,C,HOU,1,22.0,-1.23,0.81,-0.42,0.02,2018
227,Clint Capela,C,HOU,74,27.5,0.29,-0.72,-0.43,1.54,2018
229,Brice Johnson,PF,LAC/MEM,18,5.4,-1.70,1.27,-0.43,0.06,2018
231,Bobby Brown,PG,HOU,20,5.8,-0.48,0.02,-0.46,0.08,2018
233,Lucas Nogueira,C,TOR,49,8.5,-1.86,1.36,-0.49,0.27,2018
235,Ish Smith,PG,DET,82,24.9,-0.96,0.45,-0.51,1.36,2018
237,Larry Nance Jr.,PF,LAL/CLE,66,21.5,-1.12,0.61,-0.52,0.97,2018
239,JaKarr Sampson,SF,SAC,22,15.6,-4.01,3.47,-0.54,0.17,2018
202,Norman Powell,G,TOR,70,15.2,0.44,-0.58,-0.14,0.99,2018
204,Andrew Wiggins,SF,MIN,82,36.3,-0.43,0.26,-0.17,2.74,2018
206,Taj Gibson,F,MIN,82,33.3,-0.38,0.16,-0.23,2.41,2018
208,Cody Zeller,C,CHA,33,19.0,-0.74,0.50,-0.24,0.53,2018
210,Mason Plumlee,C,DEN,74,19.5,-0.84,0.57,-0.27,1.26,2018
212,Rudy Gay,SF,SA,57,21.6,-1.27,0.98,-0.29,0.97,2018
214,Henry Ellenson,PF,DET,38,8.7,-1.51,1.21,-0.30,0.25,2018
216,Aron Baynes,C,BOS,81,18.3,-2.77,2.46,-0.31,1.21,2018
218,Glenn Robinson III,F,IND,23,14.7,-1.48,1.15,-0.33,0.27,2018
220,DeMar DeRozan,SF,TOR,80,33.9,1.18,-1.52,-0.34,2.22,2018
222,Dorian Finney-Smith,PF,DAL,21,21.3,-1.85,1.47,-0.38,0.34,2018
224,Omri Casspi,F,GS,53,14.0,-1.60,1.21,-0.39,0.56,2018
226,Ante Zizic,C,CLE,32,6.7,-0.45,0.03,-0.43,0.14,2018
228,Salah Mejri,C,DAL,61,12.0,-1.77,1.34,-0.43,0.52,2018
230,Kris Dunn,G,CHI,52,29.3,0.39,-0.84,-0.46,1.14,2018
232,OG Anunoby,SF,TOR,74,20.0,-0.17,-0.32,-0.49,1.08,2018
234,Brook Lopez,C,LAL,74,23.4,2.16,-2.66,-0.50,1.33,2018
236,Alex Abrines,G,OKC,75,15.1,-0.60,0.08,-0.51,0.74,2018
238,Patrick Beverley,PG,LAC,11,30.4,-0.43,-0.09,-0.52,0.22,2018
240,Ricky Rubio,PG,UTAH,77,29.3,-0.38,-0.18,-0.55,1.51,2018
241,Willie Reed,C,LAC/DET,42,10.2,-1.34,0.74,-0.59,0.27,2018
243,Johnny O'Bryant III,F,CHA,36,10.5,-2.27,1.63,-0.63,0.22,2018
245,Milos Teodosic,G,LAC,45,25.2,1.67,-2.31,-0.64,0.70,2018
247,Tim Frazier,PG,WSH,59,14.2,-1.20,0.54,-0.66,0.47,2018
249,Reggie Jackson,PG,DET,45,26.7,0.04,-0.71,-0.67,0.68,2018
251,Zaza Pachulia,C,GS,69,14.1,0.58,-1.29,-0.71,0.58,2018
253,Serge Ibaka,F,TOR,76,27.5,0.08,-0.81,-0.73,1.16,2018
255,Maurice Harkless,SF,POR,59,21.4,-2.07,1.26,-0.80,0.59,2018
257,Wesley Matthews,SG,DAL,63,33.8,-0.86,0.05,-0.81,0.98,2018
259,Justise Winslow,PF,MIA,68,24.7,-2.57,1.75,-0.82,0.77,2018
261,Shane Larkin,G,BOS,54,14.4,-2.34,1.50,-0.84,0.31,2018
263,Garrett Temple,SF,SAC,65,24.8,-1.94,1.10,-0.85,0.69,2018
265,Nicolas Batum,PF,CHA,64,31.0,0.67,-1.52,-0.85,0.91,2018
267,Luke Babbitt,F,ATL/MIA,50,14.3,-0.48,-0.40,-0.88,0.30,2018
269,Nik Stauskas,G,PHI/BKN,41,12.8,-1.51,0.62,-0.89,0.21,2018
271,Tim Hardaway Jr.,SF,NY,57,33.1,0.34,-1.24,-0.90,0.79,2018
273,Manu Ginobili,G,SA,65,20.0,-0.66,-0.25,-0.91,0.50,2018
275,Julius Randle,PF,LAL,82,26.7,0.63,-1.54,-0.91,0.90,2018
277,Jerryd Bayless,G,PHI,39,23.7,-0.17,-0.76,-0.93,0.37,2018
279,Jodie Meeks,G,WSH,77,14.5,0.97,-1.92,-0.95,0.40,2018
242,Okaro White,PF,MIA,6,13.3,-1.59,0.97,-0.61,0.05,2018
244,Darius Miller,SF,NO,82,23.7,-0.62,-0.02,-0.63,1.13,2018
246,Cory Joseph,PG,IND,82,27.0,-2.36,1.71,-0.65,1.22,2018
248,Guerschon Yabusele,F,BOS,33,7.1,-1.81,1.15,-0.66,0.11,2018
250,DeMarcus Cousins,C,NO,48,36.2,1.20,-1.89,-0.69,1.00,2018
252,Jason Terry,G,MIL,51,16.0,-1.27,0.54,-0.73,0.40,2018
254,Al-Farouq Aminu,SF,POR,69,30.0,-0.94,0.16,-0.79,1.03,2018
256,Shaun Livingston,G,GS,71,15.9,-1.86,1.06,-0.81,0.52,2018
258,Brandon Paul,G,SA,64,9.0,-3.01,2.20,-0.81,0.23,2018
260,Jerian Grant,G,CHI,74,22.8,-0.76,-0.06,-0.82,0.76,2018
262,Jack Cooley,F,SAC,7,12.4,-1.67,0.83,-0.84,0.03,2018
264,Sterling Brown,SF,MIL,54,14.4,-2.17,1.32,-0.85,0.31,2018
266,Malcolm Delaney,G,ATL,54,18.8,-1.50,0.64,-0.87,0.43,2018
268,Willie Cauley-Stein,C,SAC,73,28.0,-1.72,0.83,-0.89,0.85,2018
270,Courtney Lee,G,NY,76,30.4,-0.42,-0.48,-0.90,0.97,2018
272,Isaiah Thomas,G,CLE/LAL,32,26.9,2.90,-3.80,-0.90,0.38,2018
274,Marcus Georges-Hunt,F,MIN,42,5.3,-2.06,1.15,-0.91,0.08,2018
276,Quinn Cook,PG,GS,33,22.4,0.05,-0.97,-0.92,0.30,2018
278,Jeff Withey,C,DAL,10,3.9,-1.98,1.03,-0.95,0.01,2018
280,Myke Henry,F,MEM,20,18.9,-1.34,0.38,-0.95,0.13,2018
281,Stanley Johnson,SF,DET,69,27.4,-1.69,0.73,-0.96,0.67,2018
283,John Holland,G,CLE,24,7.3,-1.31,0.32,-0.99,0.05,2018
285,Thomas Bryant,C,LAL,15,4.8,-1.76,0.75,-1.01,0.02,2018
287,Jusuf Nurkic,C,POR,79,26.4,-1.43,0.41,-1.02,0.70,2018
289,Bam Adebayo,C,MIA,69,19.8,-3.36,2.34,-1.03,0.39,2018
291,Jalen Jones,F,NO/DAL,16,11.3,-1.11,0.05,-1.06,0.05,2018
293,Tyrone Wallace,G,LAC,30,28.4,-0.59,-0.48,-1.07,0.26,2018
295,Kenneth Faried,F,DEN,32,14.4,-0.89,-0.18,-1.08,0.13,2018
297,Michael Kidd-Gilchrist,F,CHA,74,25.0,-1.61,0.47,-1.14,0.46,2018
299,Sindarius Thornwell,SG,LAC,73,15.8,-2.85,1.70,-1.16,0.27,2018
301,Myles Turner,C,IND,65,28.2,-1.74,0.56,-1.18,0.39,2018
303,Frank Kaminsky,PF,CHA,79,23.2,0.00,-1.19,-1.18,0.38,2018
305,Mangok Mathiang,F,CHA,4,5.0,-2.69,1.49,-1.21,0.00,2018
307,Enes Freedom,C,NY,71,25.8,1.09,-2.30,-1.21,0.37,2018
309,Mario Chalmers,G,MEM,66,21.5,-2.49,1.27,-1.21,0.26,2018
311,Josh Huestis,F,OKC,69,14.2,-4.12,2.89,-1.24,0.16,2018
313,Jae Crowder,PF,CLE/UTAH,80,26.1,-0.36,-0.91,-1.27,0.32,2018
315,Austin Rivers,SG,LAC,61,33.7,-0.24,-1.06,-1.31,0.26,2018
317,Vince Carter,G,SAC,58,17.7,-1.64,0.32,-1.33,0.11,2018
319,Frank Mason III,G,SAC,52,18.9,-2.19,0.84,-1.35,0.08,2018
282,Mike Muscala,C,ATL,53,20.0,-0.14,-0.84,-0.98,0.38,2018
284,Corey Brewer,F,LAL/OKC,72,16.8,-0.14,-0.86,-1.00,0.41,2018
286,Luol Deng,F,LAL,1,13.0,-1.52,0.51,-1.01,0.01,2018
288,Johnathan Motley,F,DAL,11,16.0,-1.85,0.82,-1.02,0.05,2018
290,Andre Drummond,C,DET,78,33.7,0.36,-1.42,-1.06,0.80,2018
292,Patrick Patterson,PF,OKC,82,15.5,-3.35,2.28,-1.06,0.34,2018
294,Emeka Okafor,C,NO,26,13.6,-1.23,0.15,-1.08,0.12,2018
296,Dillon Brooks,SF,MEM,82,28.7,-1.48,0.40,-1.08,0.66,2018
298,Maxi Kleber,PF,DAL,72,16.8,-1.54,0.38,-1.16,0.28,2018
300,Terrence Ross,G,ORL,24,25.0,-0.93,-0.24,-1.18,0.14,2018
302,Chandler Parsons,SF,MEM,36,19.2,0.19,-1.37,-1.18,0.15,2018
304,Dwight Howard,C,CHA,81,30.4,-0.29,-0.90,-1.19,0.53,2018
306,Marc Gasol,C,MEM,73,33.0,-1.30,0.10,-1.21,0.45,2018
308,Patty Mills,PG,SA,82,25.7,0.19,-1.40,-1.21,0.39,2018
310,Davon Reed,SG,PHX,21,11.5,-2.91,1.68,-1.23,0.04,2018
312,Meyers Leonard,C,POR,33,7.7,-1.49,0.25,-1.24,0.04,2018
314,Jake Layman,F,POR,35,4.6,-2.93,1.64,-1.29,0.02,2018
316,Devin Robinson,F,WSH,1,13.0,-2.45,1.13,-1.32,0.00,2018
