rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
1,Kyle Lowry,PG,TOR,78,32.2,5.09,1.52,6.61,14.77,2018
3,Fred VanVleet,PG,TOR,76,20.0,0.92,5.17,6.08,7.39,2018
5,James Harden,SG,HOU,72,35.4,5.68,-0.71,4.98,11.55,2018
7,Davis Bertans,SF,SA,77,14.1,1.04,3.59,4.63,4.05,2018
9,Victor Oladipo,SG,IND,75,34.0,2.40,1.92,4.31,10.25,2018
11,Jimmy Butler,SF,MIN,59,36.7,1.45,2.56,4.01,8.18,2018
13,Eric Gordon,SG,HOU,69,31.2,3.62,0.10,3.72,7.71,2018
15,Nikola Jokic,C,DEN,75,32.5,3.51,0.08,3.60,8.65,2018
17,Russell Westbrook,PG,OKC,80,36.4,5.88,-2.32,3.56,10.64,2018
19,Buddy Hield,SG,SAC,80,25.3,0.85,2.69,3.54,6.13,2018
21,Klay Thompson,SG,GS,73,34.3,2.75,0.72,3.46,9.01,2018
23,Kemba Walker,PG,CHA,80,34.2,3.01,0.34,3.35,9.33,2018
25,Nikola Mirotic,F,CHI/NO,55,27.2,2.48,0.81,3.29,4.96,2018
27,John Wall,PG,WSH,41,34.4,3.44,-0.18,3.26,4.66,2018
29,Jaylen Brown,SG,BOS,70,30.7,0.92,2.21,3.13,6.79,2018
31,LeBron James,SF,CLE,82,36.9,6.38,-3.37,3.01,9.84,2018
33,Al Horford,C,BOS,72,31.6,0.71,2.16,2.87,6.67,2018
35,Montrezl Harrell,C,LAC,76,17.0,2.33,0.46,2.79,3.77,2018
37,Aaron Gordon,PF,ORL,58,32.9,1.83,0.86,2.69,5.66,2018
39,Cameron Payne,PG,CHI,25,23.3,2.12,0.36,2.48,1.67,2018
2,Stephen Curry,PG,GS,51,32.0,9.09,-2.89,6.20,9.40,2018
4,Chris Paul,PG,HOU,58,31.8,4.16,1.25,5.41,8.89,2018
6,Alec Peters,F,PHX,20,11.3,2.69,1.98,4.68,0.68,2018
8,Bradley Beal,SG,WSH,82,36.3,1.81,2.63,4.44,12.15,2018
10,Jrue Holiday,PG,NO,81,36.1,2.20,1.87,4.07,11.87,2018
12,Anthony Davis,PF,NO,75,36.4,2.71,1.16,3.87,10.61,2018
14,Robert Covington,PF,PHI,80,31.6,1.91,1.77,3.68,9.40,2018
16,Tyreke Evans,G,MEM,52,30.9,2.25,1.34,3.59,5.55,2018
18,Eric Bledsoe,SG,PHX/MIL,74,31.4,2.41,1.13,3.54,8.17,2018
20,Damian Lillard,PG,POR,73,36.6,4.22,-0.72,3.50,9.53,2018
22,Giannis Antetokounmpo,PF,MIL,75,36.7,2.55,0.83,3.38,9.28,2018
24,Lou Williams,SG,LAC,79,32.8,4.21,-0.89,3.32,8.62,2018
26,Kyle Korver,G,CLE,73,21.6,1.67,1.59,3.26,4.52,2018
28,LaMarcus Aldridge,C,SA,75,33.5,0.61,2.54,3.15,8.03,2018
30,Kyrie Irving,PG,BOS,60,32.2,4.03,-1.00,3.03,5.80,2018
32,Blake Griffin,PF,LAC/DET,58,34.0,2.32,0.62,2.94,6.24,2018
