rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
47,Derrick Favors,F,NO,51,24.4,-0.25,2.33,2.08,3.91,2020
49,Donte DiVincenzo,SG,MIL,66,23.0,1.88,0.19,2.08,4.79,2020
51,Chris Chiozza,G,WSH/BKN,28,14.3,0.79,1.18,1.97,1.23,2020
53,Devonte' Graham,PG,CHA,63,35.1,0.90,1.00,1.90,5.94,2020
55,Reggie Jackson,PG,DET/LAC,31,24.0,0.69,1.14,1.82,2.06,2020
57,Davis Bertans,SF,WSH,54,29.3,4.36,-2.55,1.81,4.69,2020
59,Jarrett Allen,C,BKN,70,26.5,-0.75,2.39,1.64,5.07,2020
61,Lou Williams,SG,LAC,65,28.7,3.39,-1.77,1.63,5.19,2020
63,Patty Mills,PG,SA,66,22.5,3.32,-1.73,1.59,4.07,2020
65,J.J. Barea,G,DAL,29,15.5,1.80,-0.28,1.52,1.17,2020
67,Tim Hardaway Jr.,SF,DAL,71,29.5,0.83,0.65,1.48,5.47,2020
69,Richaun Holmes,F,SAC,44,28.2,-1.56,2.98,1.42,3.09,2020
71,Jaylen Brown,SG,BOS,57,33.9,1.05,0.35,1.41,4.86,2020
73,Alex Caruso,SG,LAL,64,18.4,-0.33,1.70,1.38,2.97,2020
75,D'Angelo Russell,PG,GS/MIN,45,32.3,3.62,-2.25,1.37,3.78,2020
77,Goran Dragic,PG,MIA,59,28.2,2.26,-0.89,1.37,4.15,2020
79,Spencer Dinwiddie,PG,BKN,64,31.2,3.14,-1.78,1.37,5.06,2020
42,Marcus Smart,PG,BOS,60,32.0,0.76,1.53,2.29,6.14,2020
44,Karl-Anthony Towns,C,MIN,35,33.9,5.80,-3.68,2.12,3.75,2020
46,Eric Bledsoe,SG,MIL,61,27.0,3.06,-0.95,2.11,5.37,2020
48,Marc Gasol,C,TOR,44,26.4,-1.34,3.42,2.08,3.58,2020
50,Norman Powell,G,TOR,52,28.4,1.42,0.62,2.04,4.56,2020
52,Fred VanVleet,PG,TOR,54,35.7,0.68,1.25,1.92,5.66,2020
54,Wesley Matthews,SG,MIL,67,24.4,-1.01,2.88,1.87,4.91,2020
56,Kris Dunn,G,CHI,51,24.9,-1.19,3.01,1.82,3.61,2020
58,Paul George,F,LAC,48,29.6,3.07,-1.37,1.70,3.95,2020
60,Lonzo Ball,PG,NO,63,32.1,1.43,0.20,1.64,5.71,2020
62,John Collins,PF,ATL,41,33.2,1.09,0.51,1.60,3.75,2020
64,Paul Millsap,PF,DEN,51,24.3,-1.40,2.94,1.54,3.13,2020
66,Bogdan Bogdanovic,SG,SAC,61,29.0,0.49,1.01,1.51,4.53,2020
68,Hassan Whiteside,C,POR,67,30.0,-0.12,1.55,1.43,5.00,2020
70,Will Barton,G,DEN,58,33.0,0.40,1.01,1.41,4.67,2020
72,Domantas Sabonis,PF,IND,62,34.8,-0.19,1.57,1.38,5.31,2020
74,Doug McDermott,SF,IND,69,19.9,1.29,0.08,1.37,3.47,2020
76,George Hill,PG,MIL,59,21.5,1.56,-0.20,1.37,3.26,2020
78,Enes Freedom,C,BOS,58,16.9,0.35,1.02,1.37,2.42,2020
80,Chris Clemons,G,HOU,33,8.8,2.56,-1.23,1.33,0.75,2020
81,Jonas Valanciunas,C,MEM,70,26.4,-0.71,2.03,1.32,4.67,2020
83,Ben Simmons,PG,PHI,57,35.4,2.14,-0.85,1.29,4.99,2020
85,Jaylen Nowell,SG,MIN,15,10.1,0.55,0.67,1.22,0.39,2020
87,Steven Adams,C,OKC,63,26.7,-0.23,1.43,1.20,3.95,2020
89,Danny Green,F,LAL,68,24.8,0.03,1.14,1.17,4.01,2020
91,Malcolm Brogdon,PG,IND,54,30.9,-0.16,1.31,1.15,3.85,2020
93,Luke Kennard,SG,DET,28,32.9,0.68,0.42,1.10,2.02,2020
95,Evan Fournier,SG,ORL,66,31.5,0.80,0.27,1.07,4.72,2020
97,Jalen Brunson,PG,DAL,57,17.9,0.95,0.03,0.98,2.24,2020
99,Aaron Gordon,PF,ORL,62,32.5,-1.05,2.02,0.97,4.42,2020
101,Mikal Bridges,SF,PHX,73,28.0,-0.38,1.31,0.93,4.56,2020
103,Jamal Murray,PG,DEN,59,32.3,-0.39,1.31,0.91,3.97,2020
105,Chris Boucher,PF,TOR,62,13.2,0.57,0.32,0.89,1.75,2020
107,Bojan Bogdanovic,SF,UTAH,63,33.1,1.83,-1.01,0.83,4.36,2020
109,Royce O'Neale,PF,UTAH,71,28.9,-1.06,1.85,0.79,4.24,2020
111,Jordan Clarkson,PG,CLE/UTAH,71,24.0,1.41,-0.64,0.77,3.51,2020
113,T.J. Warren,SF,IND,67,32.9,-1.05,1.76,0.71,4.41,2020
115,Joe Harris,SF,BKN,69,30.8,0.46,0.24,0.69,4.37,2020
117,David Nwaba,SF,BKN,20,13.4,-0.09,0.75,0.66,0.55,2020
119,Nerlens Noel,C,OKC,61,18.5,-0.57,1.22,0.65,2.21,2020
82,Dorian Finney-Smith,PF,DAL,71,29.9,-0.31,1.61,1.30,5.17,2020
84,Kemba Walker,PG,BOS,56,31.1,2.46,-1.20,1.26,4.21,2020
86,Terence Davis,SG,TOR,72,16.8,2.58,-1.38,1.21,2.82,2020
88,John Konchar,SG,MEM,19,9.5,0.34,0.85,1.19,0.43,2020
90,Isaac Bonga,G,WSH,66,18.9,-2.31,3.47,1.16,3.01,2020
92,Al Horford,C,PHI,67,30.2,0.01,1.11,1.11,4.69,2020
94,Damion Lee,SG,GS,49,29.0,0.17,0.94,1.10,3.36,2020
96,Dion Waiters,G,MIA/LAL,10,20.7,0.94,0.05,0.99,0.47,2020
98,Trae Young,PG,ATL,60,35.3,7.14,-6.17,0.97,4.92,2020
100,Derrick White,PG,SA,68,24.7,0.45,0.51,0.95,3.79,2020
102,Aaron Holiday,G,IND,66,24.5,-0.84,1.76,0.92,3.50,2020
104,Mike Muscala,C,OKC,47,12.2,0.02,0.88,0.89,1.23,2020
106,Deandre Ayton,C,PHX,38,32.5,-0.37,1.21,0.84,2.66,2020
108,Dillon Brooks,SF,MEM,73,28.9,-0.77,1.57,0.80,4.56,2020
110,Thomas Bryant,C,WSH,46,24.9,0.26,0.53,0.79,2.49,2020
112,Willie Cauley-Stein,C,GS/DAL,54,20.3,-2.14,2.85,0.71,2.23,2020
114,Draymond Green,PF,GS,43,28.4,-0.43,1.12,0.70,2.52,2020
116,Ryan Broekhoff,G,DAL,17,10.6,0.99,-0.33,0.66,0.37,2020
118,Kyle Anderson,SF,MEM,67,19.9,-1.52,2.17,0.65,2.74,2020
120,Caleb Martin,SF,CHA,18,17.6,-1.39,2.03,0.64,0.59,2020
121,Brandon Ingram,SF,NO,62,33.9,1.83,-1.20,0.63,4.34,2020
123,Victor Oladipo,SG,IND,19,27.8,-0.19,0.81,0.62,1.05,2020
125,Shabazz Napier,G,MIN/WSH,56,24.0,0.54,0.05,0.60,2.70,2020
127,Myles Turner,C,IND,62,29.5,-2.36,2.90,0.54,3.42,2020
129,Naz Reid,C,MIN,30,16.5,-0.21,0.72,0.51,0.98,2020
131,Josh Hart,SG,NO,65,27.0,1.07,-0.58,0.49,3.41,2020
133,Jonathan Isaac,PF,ORL,34,28.8,-1.48,1.95,0.47,1.81,2020
135,Clint Capela,C,HOU,39,32.8,0.04,0.40,0.45,2.45,2020
137,Wayne Ellington,SG,NY,36,15.5,-0.46,0.84,0.39,0.97,2020
139,Tyus Jones,PG,MEM,65,19.0,1.85,-1.50,0.35,2.30,2020
141,Bradley Beal,SG,WSH,57,36.0,5.09,-4.79,0.30,3.69,2020
143,Caris LeVert,SG,BKN,45,29.6,-0.18,0.45,0.26,2.32,2020
145,Seth Curry,SG,DAL,64,24.6,1.51,-1.28,0.23,2.65,2020
147,Otto Porter Jr.,SF,CHI,14,23.6,-0.31,0.52,0.21,0.56,2020
149,Josh Jackson,SG,MEM,22,17.3,1.44,-1.23,0.20,0.67,2020
151,Furkan Korkmaz,SG,PHI,72,21.7,0.51,-0.35,0.16,2.58,2020
153,Gorgui Dieng,C,MIN/MEM,63,17.4,-1.83,1.97,0.14,1.81,2020
155,John Henson,F,CLE/DET,40,15.0,-1.25,1.38,0.13,0.96,2020
157,Dwight Powell,C,DAL,40,26.5,-0.44,0.57,0.13,1.68,2020
159,Trevor Ariza,SF,SAC/POR,53,28.2,-0.61,0.71,0.10,2.37,2020
122,Serge Ibaka,F,TOR,55,27.0,-0.64,1.27,0.62,2.88,2020
124,Eric Gordon,SG,HOU,36,28.2,2.25,-1.65,0.61,2.11,2020
126,Trey Lyles,PF,SA,63,20.2,-1.16,1.75,0.60,2.48,2020
128,Patrick Patterson,PF,LAC,59,13.2,-0.43,0.94,0.51,1.51,2020
130,Denzel Valentine,G,CHI,36,13.6,0.78,-0.28,0.49,0.90,2020
132,Matt Thomas,SG,TOR,41,10.7,0.39,0.10,0.49,0.82,2020
134,Troy Daniels,G,LAL/DEN,47,11.3,-0.11,0.57,0.46,0.98,2020
136,Jakob Poeltl,C,SA,66,17.7,0.47,-0.04,0.43,2.20,2020
138,Shai Gilgeous-Alexander,PG,OKC,70,34.7,0.16,0.22,0.38,4.33,2020
140,De'Anthony Melton,SG,MEM,60,19.5,0.98,-0.66,0.31,2.14,2020
142,Boban Marjanovic,C,DAL,44,9.6,0.32,-0.05,0.27,0.72,2020
144,Malik Beasley,SG,DEN/MIN,55,22.0,1.49,-1.25,0.24,2.10,2020
146,Mason Plumlee,C,DEN,61,17.3,0.20,0.02,0.23,1.73,2020
148,Nemanja Bjelica,PF,SAC,72,27.9,-0.85,1.05,0.20,3.30,2020
150,Ja Morant,PG,MEM,67,31.0,-0.21,0.40,0.20,3.55,2020
152,Garrison Mathews,SG,WSH,18,12.6,0.74,-0.58,0.16,0.38,2020
154,Avery Bradley,PG,LAL,49,24.2,-1.12,1.26,0.14,1.94,2020
156,Mitchell Robinson,C,NY,61,23.1,0.19,-0.06,0.13,2.17,2020
158,Kevin Love,PF,CLE,56,31.8,0.38,-0.28,0.10,2.80,2020
160,Garrett Temple,SF,BKN,62,27.9,-0.48,0.56,0.07,2.78,2020
161,Larry Nance Jr.,PF,CLE,56,26.3,-0.42,0.43,0.02,2.18,2020
163,Yuta Watanabe,SF,MEM,18,5.8,-0.55,0.55,-0.01,0.16,2020
165,Terrence Ross,G,ORL,69,27.4,0.36,-0.41,-0.05,2.78,2020
167,Aron Baynes,C,PHX,42,22.3,-0.07,-0.01,-0.07,1.40,2020
169,Ben McLemore,SG,HOU,71,22.8,2.50,-2.60,-0.10,2.44,2020
171,Maxi Kleber,PF,DAL,74,25.5,-0.63,0.53,-0.10,2.74,2020
173,Jabari Parker,PF,ATL/SAC,38,24.1,1.84,-1.99,-0.15,1.34,2020
175,Tony Snell,SF,DET,59,27.8,-1.96,1.80,-0.16,2.21,2020
177,Keldon Johnson,SF,SA,17,17.7,-0.39,0.22,-0.17,0.46,2020
179,Dwight Howard,C,LAL,69,18.9,-0.76,0.58,-0.18,1.78,2020
181,Bruno Caboclo,F,MEM/HOU,30,8.1,-0.78,0.54,-0.24,0.35,2020
183,Monte Morris,PG,DEN,73,22.4,-0.83,0.58,-0.25,2.14,2020
185,Gabe Vincent,PG,MIA,9,9.2,-0.78,0.51,-0.27,0.11,2020
187,Robert Williams III,C,BOS,29,13.4,-0.50,0.22,-0.28,0.51,2020
189,Sterling Brown,SF,MIL,52,14.8,-0.55,0.26,-0.29,1.05,2020
191,Mike Conley,PG,UTAH,47,29.0,-0.93,0.62,-0.31,1.75,2020
193,Bismack Biyombo,C,CHA,53,19.4,-2.28,1.96,-0.32,1.19,2020
195,Michael Carter-Williams,G,ORL,45,18.5,-0.81,0.47,-0.34,1.04,2020
197,Donovan Mitchell,SG,UTAH,69,34.3,0.08,-0.46,-0.38,2.92,2020
199,T.J. McConnell,PG,IND,71,18.7,0.90,-1.28,-0.38,1.67,2020
162,Matisse Thybulle,SG,PHI,65,19.8,-0.96,0.97,0.00,1.95,2020
164,Brandon Clarke,PF,MEM,58,22.4,1.63,-1.64,-0.01,2.07,2020
166,Alex Len,C,ATL/SAC,55,17.6,-1.07,1.00,-0.07,1.47,2020
168,Luguentz Dort,G,OKC,36,22.8,-1.74,1.64,-0.10,1.18,2020
170,Luka Samanic,F,SA,3,16.0,-0.75,0.65,-0.10,0.07,2020
172,Trey Burke,PG,PHI/DAL,33,15.8,-0.17,0.05,-0.12,0.73,2020
174,Rondae Hollis Jefferson,SF,TOR,60,18.7,-0.83,0.68,-0.15,1.57,2020
176,OG Anunoby,SF,TOR,69,29.9,-2.11,1.95,-0.16,2.90,2020
178,Jake Layman,F,MIN,23,22.0,-0.15,-0.02,-0.17,0.77,2020
180,Zach LaVine,SG,CHI,60,34.8,2.06,-2.27,-0.21,2.88,2020
182,Frank Kaminsky,PF,PHX,39,19.9,0.17,-0.41,-0.25,1.08,2020
184,JaMychal Green,F,LAC,63,20.7,-0.58,0.33,-0.25,1.80,2020
186,LaMarcus Aldridge,C,SA,53,33.1,-0.72,0.44,-0.28,2.29,2020
188,De'Aaron Fox,PG,SAC,51,32.0,2.04,-2.33,-0.29,2.18,2020
190,Kyle Korver,G,MIL,58,16.6,1.21,-1.50,-0.30,1.32,2020
192,JaVale McGee,C,LAL,68,16.6,-1.94,1.63,-0.31,1.47,2020
194,Mike Scott,PF,PHI,68,17.8,-0.22,-0.12,-0.34,1.53,2020
196,Daniel Gafford,C,CHI,43,14.2,-1.38,1.01,-0.37,0.76,2020
198,Rudy Gay,SF,SA,67,21.8,-0.29,-0.09,-0.38,1.88,2020
200,Adam Mokoka,SG,CHI,11,10.2,-0.68,0.29,-0.40,0.14,2020
201,Tomas Satoransky,SG,CHI,65,28.9,-0.97,0.57,-0.40,2.31,2020
203,DeAndre Jordan,C,BKN,56,22.0,-0.67,0.26,-0.41,1.54,2020
205,Mfiondu Kabengele,C,LAC,12,5.3,0.07,-0.51,-0.44,0.07,2020
207,P.J. Tucker,PF,HOU,72,34.3,-2.59,2.10,-0.48,2.98,2020
209,Jordan McLaughlin,PG,MIN,30,19.7,1.11,-1.62,-0.51,0.72,2020
211,Reggie Bullock Jr.,SF,NY,29,23.6,-0.25,-0.28,-0.53,0.72,2020
213,Justin Holiday,SF,IND,73,25.0,-0.10,-0.43,-0.53,2.09,2020
215,Buddy Hield,SG,SAC,72,30.8,2.06,-2.62,-0.56,2.48,2020
217,Kyle Kuzma,SF,LAL,61,25.0,0.12,-0.70,-0.58,1.72,2020
219,Abdel Nader,SF,OKC,55,15.8,-1.24,0.65,-0.59,0.94,2020
221,Frank Ntilikina,PG,NY,57,20.8,-1.74,1.12,-0.62,1.20,2020
223,Isaiah Hartenstein,C,HOU,23,11.6,0.05,-0.70,-0.65,0.29,2020
225,Langston Galloway,SG,DET,66,25.8,0.55,-1.23,-0.68,1.69,2020
227,Kent Bazemore,SF,POR/SAC,68,24.8,-1.90,1.19,-0.71,1.68,2020
229,Cameron Johnson,SF,PHX,57,22.0,0.90,-1.61,-0.71,1.30,2020
231,Jevon Carter,PG,PHX,58,16.3,-1.94,1.20,-0.74,0.94,2020
233,Wes Iwundu,F,ORL,52,18.3,-2.07,1.31,-0.76,0.92,2020
235,Landry Shamet,SG,LAC,53,27.4,-0.17,-0.61,-0.78,1.41,2020
237,Skal Labissiere,F,POR,33,17.2,-1.05,0.25,-0.80,0.53,2020
239,Kentavious Caldwell-Pope,SG,LAL,69,25.5,0.48,-1.30,-0.82,1.64,2020
202,Blake Griffin,PF,DET,18,28.4,0.42,-0.83,-0.41,0.58,2020
204,Gary Harris,SG,DEN,56,31.8,-2.35,1.92,-0.43,2.05,2020
206,Luke Kornet,C,CHI,36,15.5,-0.69,0.23,-0.46,0.66,2020
208,Lauri Markkanen,PF,CHI,50,29.8,-0.01,-0.47,-0.48,1.77,2020
210,Kendrick Nunn,G,MIA,67,29.3,-0.49,-0.04,-0.53,2.20,2020
212,Alec Burks,SG,GS/PHI,66,26.6,0.26,-0.79,-0.53,1.98,2020
214,P.J. Washington,PF,CHA,58,30.3,-2.98,2.43,-0.55,1.85,2020
216,Yogi Ferrell,PG,SAC,50,10.6,-0.92,0.35,-0.57,0.59,2020
218,Marco Belinelli,G,SA,57,15.5,0.67,-1.26,-0.58,1.00,2020
220,Justin James,G,SAC,36,6.4,-0.33,-0.27,-0.60,0.26,2020
222,Derrick Rose,PG,DET,50,26.0,1.88,-2.50,-0.62,1.37,2020
224,Wendell Carter Jr.,C,CHI,43,29.2,-3.09,2.43,-0.66,1.30,2020
226,Marcus Morris Sr.,SF,NY/LAC,62,31.2,-1.76,1.06,-0.71,1.79,2020
228,Jeremiah Martin,PG,BKN,9,11.0,-0.35,-0.36,-0.71,0.10,2020
230,Cody Martin,SF,CHA,48,18.8,-0.85,0.11,-0.74,0.87,2020
232,Julius Randle,PF,NY,64,32.5,-0.59,-0.17,-0.75,1.96,2020
234,Markelle Fultz,PG,ORL,72,27.7,-1.40,0.63,-0.77,1.93,2020
236,Matthew Dellavedova,PG,CLE,57,14.4,-1.43,0.64,-0.79,0.77,2020
238,Marquese Chriss,SF,GS,59,20.3,-0.21,-0.60,-0.82,1.12,2020
240,Eric Mika,PF,SAC,1,19.0,-0.83,-0.01,-0.84,0.02,2020
241,Kelan Martin,SG,MIN,31,16.0,0.36,-1.21,-0.85,0.47,2020
243,Cory Joseph,PG,SAC,72,24.4,-2.59,1.72,-0.87,1.55,2020
245,Damyean Dotson,SG,NY,48,17.4,0.55,-1.43,-0.88,0.71,2020
247,Svi Mykhailiuk,SG,DET,56,22.6,-0.15,-0.76,-0.91,1.07,2020
249,Tristan Thompson,C,CLE,57,30.2,-2.40,1.48,-0.92,1.42,2020
251,Ersan Ilyasova,PF,MIL,63,15.7,0.22,-1.16,-0.94,0.87,2020
253,Kyle O'Quinn,C,PHI,29,10.8,0.08,-1.04,-0.96,0.25,2020
255,Willy Hernangomez,C,CHA,31,12.1,-0.89,-0.09,-0.98,0.29,2020
257,Rajon Rondo,PG,LAL,48,20.5,0.82,-1.81,-0.99,0.78,2020
259,Elfrid Payton,G,NY,45,27.7,-0.52,-0.50,-1.03,0.93,2020
261,Jaylen Hoard,F,POR,13,7.9,-0.93,-0.12,-1.05,0.08,2020
263,Meyers Leonard,C,MIA,51,20.3,-2.04,0.99,-1.06,0.76,2020
265,Taurean Prince,PF,BKN,64,29.0,-0.77,-0.32,-1.09,1.39,2020
267,Courtney Lee,G,DAL,24,14.4,-1.30,0.18,-1.11,0.25,2020
269,Naz Mitrou-Long,G,IND,5,9.4,-1.79,0.66,-1.13,0.03,2020
271,DeMarre Carroll,F,SA/HOU,24,12.1,-1.54,0.40,-1.15,0.20,2020
273,Andrew Wiggins,SF,MIN/GS,54,34.4,0.46,-1.64,-1.19,1.26,2020
275,Terry Rozier,SG,CHA,63,34.3,-0.66,-0.54,-1.20,1.32,2020
277,Marvin Williams,F,CHA/MIL,58,19.5,-0.86,-0.41,-1.27,0.67,2020
279,Grayson Allen,SG,MEM,38,18.9,0.71,-2.00,-1.29,0.44,2020
242,Brandon Goodwin,G,ATL,34,12.6,-0.10,-0.75,-0.85,0.40,2020
244,Jarrod Uthoff,F,MEM/WSH,7,7.6,-1.24,0.37,-0.87,0.04,2020
246,Paul Watson,SG,ATL/TOR,10,8.7,-0.60,-0.29,-0.89,0.08,2020
248,Kelly Olynyk,PF,MIA,67,19.4,0.25,-1.17,-0.92,1.12,2020
250,Timothe Luwawu-Cabarrot,SG,BKN,47,18.1,-1.00,0.07,-0.94,0.75,2020
252,Shake Milton,SG,PHI,40,20.1,0.38,-1.33,-0.95,0.66,2020
254,Dragan Bender,F,MIL/GS,16,17.9,-0.84,-0.13,-0.97,0.24,2020
256,Justise Winslow,PF,MIA,11,32.0,-2.05,1.07,-0.98,0.30,2020
258,Harrison Barnes,SF,SAC,72,34.5,-1.60,0.58,-1.02,1.95,2020
260,Kenrich Williams,SF,NO,39,21.3,-2.22,1.18,-1.03,0.65,2020
262,Jae Crowder,PF,MEM/MIA,65,28.8,0.89,-1.95,-1.06,1.46,2020
264,Gary Trent Jr.,SG,POR,61,21.8,-0.64,-0.43,-1.07,1.00,2020
266,Dario Saric,PF,PHX,66,24.7,-0.94,-0.16,-1.09,1.22,2020
268,JJ Redick,SG,NO,60,26.4,3.43,-4.56,-1.13,1.18,2020
270,Talen Horton-Tucker,SG,LAL,6,13.5,-0.38,-0.76,-1.14,0.06,2020
272,Lonnie Walker IV,G,SA,61,16.2,-1.13,-0.02,-1.16,0.69,2020
274,Gary Payton II,SG,WSH,29,14.9,0.16,-1.36,-1.20,0.29,2020
276,Bruno Fernando,PF,ATL,56,12.7,-1.33,0.12,-1.21,0.47,2020
278,Cedi Osman,SF,CLE,65,29.4,-1.44,0.15,-1.28,1.12,2020
280,Bryn Forbes,SG,SA,63,25.1,0.27,-1.57,-1.30,0.92,2020
281,Quinn Cook,PG,LAL,44,11.5,-1.22,-0.08,-1.30,0.30,2020
283,Tyler Johnson,G,PHX/BKN,39,18.2,-0.71,-0.60,-1.31,0.42,2020
285,Edmond Sumner,PG,IND,31,14.4,-1.21,-0.14,-1.35,0.25,2020
287,Alen Smailagic,PF,GS,14,9.9,-0.59,-0.78,-1.37,0.08,2020
289,Treveon Graham,F,MIN/ATL,55,16.9,-2.58,1.17,-1.40,0.48,2020
291,Brandon Knight,PG,CLE/DET,25,18.5,-0.58,-0.87,-1.45,0.21,2020
293,DaQuan Jeffries,SG,SAC,13,10.8,-1.30,-0.18,-1.47,0.07,2020
295,Zach Collins,PF,POR,11,26.4,-2.17,0.69,-1.49,0.13,2020
297,Hamidou Diallo,SG,OKC,46,19.5,-2.84,1.33,-1.51,0.39,2020
299,Josh Okogie,SF,MIN,62,25.0,-0.04,-1.49,-1.53,0.67,2020
301,Andre Drummond,C,DET/CLE,57,33.0,-1.80,0.25,-1.55,0.73,2020
303,Jaxson Hayes,C,NO,64,16.9,0.83,-2.42,-1.60,0.42,2020
305,Noah Vonleh,PF,MIN/DEN,36,10.5,-1.85,0.24,-1.61,0.14,2020
307,Delon Wright,SG,DAL,73,21.5,-0.68,-0.96,-1.64,0.54,2020
309,Kevin Hervey,F,OKC,10,5.2,-1.85,0.20,-1.66,0.02,2020
311,Jordan Bell,F,MIN/MEM,29,8.8,-0.97,-0.73,-1.70,0.08,2020
313,Cheick Diallo,F,PHX,47,10.2,-1.24,-0.49,-1.73,0.13,2020
315,Chandler Parsons,SF,ATL,5,10.8,-1.14,-0.60,-1.74,0.02,2020
317,Ryan Anderson,PF,HOU,2,7.0,-1.70,-0.04,-1.75,0.00,2020
319,Marial Shayok,F,PHI,4,7.0,-1.38,-0.38,-1.76,0.01,2020
282,Cody Zeller,C,CHA,58,23.1,-1.29,-0.02,-1.31,0.74,2020
284,Nicolo Melli,PF,NO,60,17.4,-1.09,-0.26,-1.35,0.59,2020
286,Vince Carter,G,ATL,60,14.6,-1.39,0.03,-1.36,0.49,2020
288,DeMar DeRozan,SF,SA,68,34.1,0.30,-1.68,-1.39,1.21,2020
290,Tony Bradley,C,UTAH,58,11.4,-0.32,-1.10,-1.42,0.33,2020
292,E'Twaun Moore,G,NO,56,18.2,-0.03,-1.44,-1.47,0.48,2020
294,Georges Niang,SF,UTAH,66,14.0,0.10,-1.57,-1.48,0.42,2020
296,Taj Gibson,F,NY,62,16.5,-1.72,0.22,-1.50,0.43,2020
298,Louis King,SF,DET,10,6.2,-1.89,0.36,-1.53,0.03,2020
300,James Johnson,PF,MIA/MIN,32,19.3,0.85,-2.39,-1.54,0.27,2020
302,Jared Dudley,SF,LAL,45,8.1,-2.94,1.37,-1.57,0.14,2020
304,Moritz Wagner,C,WSH,45,18.6,-0.54,-1.05,-1.60,0.33,2020
306,Nic Claxton,C,BKN,15,12.5,-1.08,-0.54,-1.62,0.07,2020
308,Bruce Brown,SF,DET,58,28.2,-3.09,1.45,-1.64,0.53,2020
310,Rodney Hood,SG,POR,21,29.5,-1.66,-0.02,-1.68,0.20,2020
