rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
1,Giannis Antetokounmpo,PF,MIL,63,30.4,7.22,3.09,10.30,18.03,2020
3,James Harden,SG,HOU,68,36.5,6.31,1.18,7.49,17.72,2020
5,Chris Paul,PG,OKC,70,31.5,3.39,2.12,5.51,12.00,2020
7,Kawhi Leonard,SF,LAC,57,32.4,3.37,1.73,5.10,9.63,2020
9,Luka Doncic,PG,DAL,61,33.6,4.88,-0.61,4.28,9.51,2020
11,Jayson Tatum,SF,BOS,66,34.3,1.25,2.62,3.87,9.71,2020
13,Joel Embiid,C,PHI,51,29.5,1.81,2.00,3.81,6.41,2020
15,Khris Middleton,SF,MIL,62,29.9,3.08,0.55,3.63,8.03,2020
17,Zion Williamson,PF,NO,24,27.8,2.73,0.57,3.29,2.74,2020
19,Kristaps Porzingis,C,DAL,57,31.8,0.89,2.36,3.24,7.05,2020
21,Damian Lillard,PG,POR,66,37.5,5.59,-2.45,3.14,9.34,2020
23,Jimmy Butler,SF,MIA,58,33.8,1.44,1.64,3.08,7.18,2020
25,Daniel Theis,C,BOS,65,24.1,-1.42,4.45,3.03,5.76,2020
27,Shaquille Harrison,G,CHI,43,11.3,-0.16,2.99,2.83,1.73,2020
29,Brook Lopez,C,MIL,68,26.7,-0.81,3.60,2.80,6.70,2020
31,Patrick Beverley,PG,LAC,51,26.3,-0.35,3.01,2.67,4.66,2020
33,Nikola Vucevic,C,ORL,62,32.2,0.58,2.00,2.57,6.74,2020
35,Anthony Davis,PF,LAL,62,34.4,2.02,0.50,2.53,7.19,2020
37,Danilo Gallinari,PF,OKC,62,29.6,2.18,0.24,2.42,5.88,2020
39,CJ McCollum,SG,POR,70,36.5,1.18,1.18,2.36,8.10,2020
2,LeBron James,SF,LAL,67,34.6,5.78,3.81,9.58,19.47,2020
4,Nikola Jokic,C,DEN,73,32.0,2.50,3.51,6.01,13.08,2020
6,Kyle Lowry,PG,TOR,58,36.2,3.19,2.02,5.21,11.10,2020
8,Stephen Curry,PG,GS,5,27.8,5.93,-1.20,4.72,0.73,2020
10,Rudy Gobert,C,UTAH,68,34.3,-0.78,4.85,4.07,10.28,2020
12,Duncan Robinson,F,MIA,73,29.7,0.75,3.09,3.83,9.11,2020
14,Russell Westbrook,PG,HOU,57,35.9,4.33,-0.69,3.64,9.03,2020
16,Christian Wood,F,DET,62,21.4,1.54,1.99,3.53,5.26,2020
18,Mychal Mulder,G,GS,7,29.1,-0.13,3.40,3.27,0.46,2020
20,Pascal Siakam,PF,TOR,60,35.2,0.71,2.50,3.21,8.27,2020
22,Jrue Holiday,PG,NO,61,34.7,2.02,1.08,3.11,8.26,2020
24,Kyrie Irving,PG,BKN,20,32.9,4.78,-1.73,3.05,2.54,2020
26,Joe Ingles,SG,UTAH,72,29.7,0.04,2.82,2.86,7.59,2020
28,D.J. Augustin,G,ORL,57,24.9,0.08,2.75,2.83,5.00,2020
30,Bam Adebayo,C,MIA,72,33.6,-0.39,3.06,2.67,8.15,2020
32,Devin Booker,SG,PHX,70,35.9,4.30,-1.71,2.59,8.68,2020
34,Tobias Harris,PF,PHI,72,34.3,-0.49,3.02,2.53,8.16,2020
36,Ricky Rubio,PG,PHX,65,31.0,0.89,1.55,2.44,6.77,2020
38,Dennis Schroder,PG,OKC,65,30.8,2.07,0.30,2.37,6.48,2020
40,Montrezl Harrell,C,LAC,63,27.8,2.31,0.03,2.34,5.80,2020
41,Robert Covington,PF,MIN/HOU,70,30.5,0.11,2.19,2.30,7.00,2020
43,Ivica Zubac,C,LAC,72,18.4,-0.20,2.40,2.20,4.12,2020
45,Gordon Hayward,SF,BOS,52,33.5,1.67,0.44,2.11,5.37,2020
