rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
1,Stephen Curry,PG,GS,63,34.2,7.08,0.10,7.18,19.05,2021
3,Rudy Gobert,C,UTAH,71,30.8,-1.45,8.00,6.55,16.52,2021
5,Giannis Antetokounmpo,PF,MIL,61,33.0,3.89,1.20,5.09,14.03,2021
7,Joel Embiid,C,PHI,51,31.1,2.04,2.98,5.02,10.01,2021
9,Damian Lillard,PG,POR,67,35.8,3.88,1.09,4.97,14.55,2021
11,Mike Conley,PG,UTAH,51,29.4,1.25,3.12,4.37,8.28,2021
13,Kyle Lowry,PG,TOR,46,34.8,2.90,1.12,4.02,8.98,2021
15,Devonte' Graham,PG,CHA,55,30.2,1.92,1.97,3.88,9.24,2021
17,Ben Simmons,PG,PHI,58,32.4,1.28,2.39,3.67,9.80,2021
19,Jamal Murray,PG,DEN,48,35.5,0.41,3.07,3.48,8.04,2021
21,Jimmy Butler,SF,MIA,52,33.6,1.50,1.90,3.40,8.70,2021
23,Joe Harris,SF,BKN,69,31.0,-0.60,4.00,3.40,10.14,2021
25,Zion Williamson,PF,NO,61,33.2,1.07,2.13,3.20,9.45,2021
27,Bam Adebayo,C,MIA,64,33.5,-0.77,3.78,3.01,9.56,2021
29,Duncan Robinson,F,MIA,72,31.4,-0.56,3.45,2.89,10.04,2021
31,Jaylen Brown,SG,BOS,58,34.5,2.10,0.71,2.81,9.39,2021
33,De'Aaron Fox,PG,SAC,58,35.1,2.92,-0.27,2.66,8.85,2021
35,Jrue Holiday,PG,MIL,59,32.3,1.80,0.77,2.57,8.64,2021
37,Donovan Mitchell,SG,UTAH,53,33.4,3.26,-0.76,2.50,7.52,2021
39,Tobias Harris,PF,PHI,62,32.5,-0.20,2.65,2.45,8.21,2021
2,LeBron James,SF,LAL,45,33.4,4.63,2.10,6.73,11.91,2021
4,Paul George,F,LAC,54,33.7,1.55,3.89,5.45,11.98,2021
6,Nikola Jokic,C,DEN,72,34.6,3.12,1.96,5.08,15.85,2021
8,James Harden,SG,HOU/BKN,44,36.6,3.99,0.98,4.97,9.94,2021
10,Lonzo Ball,PG,NO,55,31.8,3.19,1.27,4.46,10.06,2021
12,Fred VanVleet,PG,TOR,52,36.5,1.27,2.78,4.05,10.67,2021
14,Kevin Durant,PF,BKN,35,33.1,4.07,-0.11,3.95,6.06,2021
16,CJ McCollum,SG,POR,47,34.0,2.09,1.78,3.87,8.42,2021
18,Chris Paul,PG,PHX,70,31.4,0.48,3.06,3.54,10.78,2021
20,Kyrie Irving,PG,BKN,54,34.9,2.96,0.49,3.44,9.16,2021
22,Julius Randle,PF,NY,71,37.6,-0.76,4.16,3.40,12.36,2021
24,Clint Capela,C,ATL,63,30.1,-1.63,4.98,3.35,9.12,2021
26,Christian Wood,F,HOU,41,32.3,0.54,2.60,3.14,6.19,2021
28,Luka Doncic,PG,DAL,66,34.3,2.44,0.51,2.96,10.37,2021
30,Terry Rozier,SG,CHA,69,34.5,1.29,1.59,2.88,10.77,2021
32,Danny Green,F,PHI,69,28.0,-0.87,3.67,2.80,8.28,2021
34,Kyle Anderson,SF,MEM,69,27.3,0.16,2.44,2.60,7.82,2021
36,Kawhi Leonard,SF,LAC,52,34.1,1.46,1.10,2.55,7.55,2021
38,Zach LaVine,SG,CHI,58,35.1,1.82,0.65,2.47,8.78,2021
40,Jayson Tatum,SF,BOS,64,35.8,1.06,1.39,2.44,9.60,2021
41,Donte DiVincenzo,SG,MIL,66,27.5,0.66,1.71,2.36,7.57,2021
43,Buddy Hield,SG,SAC,71,34.3,0.60,1.66,2.26,9.38,2021
45,Trae Young,PG,ATL,63,33.7,2.36,-0.14,2.22,8.16,2021
47,Jonas Valanciunas,C,MEM,62,28.3,-0.49,2.68,2.19,6.62,2021
49,Russell Westbrook,PG,WSH,65,36.4,1.99,0.05,2.03,8.98,2021
51,Malcolm Brogdon,PG,IND,56,34.5,0.62,1.35,1.97,7.07,2021
53,Reggie Bullock Jr.,SF,NY,65,30.0,-1.80,3.74,1.94,6.21,2021
55,Anthony Davis,PF,LAL,36,32.3,0.27,1.66,1.93,4.05,2021
57,Kemba Walker,PG,BOS,43,31.8,2.17,-0.30,1.88,4.96,2021
59,Jae Crowder,PF,PHX,60,27.5,-0.26,2.00,1.74,5.85,2021
61,Brook Lopez,C,MIL,70,27.2,-0.87,2.56,1.69,6.74,2021
63,Karl-Anthony Towns,C,MIN,50,33.8,1.83,-0.28,1.55,5.68,2021
65,Dillon Brooks,SF,MEM,67,29.8,0.11,1.31,1.42,6.23,2021
67,Myles Turner,C,IND,47,31.0,-2.13,3.53,1.40,4.40,2021
69,Evan Fournier,SG,ORL/BOS,42,30.0,1.18,0.16,1.35,3.98,2021
71,Andrew Wiggins,SF,GS,71,33.3,-1.40,2.72,1.31,7.31,2021
73,Brandon Ingram,SF,NO,61,34.3,0.55,0.73,1.28,6.22,2021
75,Victor Oladipo,SG,IND/HOU/MIA,33,32.7,0.75,0.49,1.24,3.29,2021
77,Patrick Beverley,PG,LAC,37,22.5,-0.30,1.54,1.24,2.33,2021
79,Pascal Siakam,PF,TOR,56,35.8,-0.51,1.72,1.22,6.00,2021
42,Bogdan Bogdanovic,SG,ATL,44,29.7,2.16,0.14,2.30,5.62,2021
44,Devin Booker,SG,PHX,67,33.9,1.02,1.21,2.23,8.72,2021
46,Mikal Bridges,SF,PHX,72,32.6,-0.36,2.56,2.21,8.98,2021
48,John Collins,PF,ATL,63,29.3,-0.14,2.28,2.15,6.92,2021
50,Bojan Bogdanovic,SF,UTAH,72,30.8,0.48,1.49,1.97,8.24,2021
52,Khris Middleton,SF,MIL,68,33.4,1.22,0.74,1.95,8.75,2021
54,Domantas Sabonis,PF,IND,62,36.0,-0.52,2.46,1.93,8.06,2021
56,Bradley Beal,SG,WSH,60,35.8,2.76,-0.86,1.90,8.09,2021
58,Chris Chiozza,G,BKN,22,10.5,2.88,-1.11,1.78,1.00,2021
60,Joe Ingles,SG,UTAH,67,27.9,1.91,-0.22,1.70,7.17,2021
62,Jordan Poole,SG,GS,51,19.4,3.21,-1.59,1.62,3.64,2021
64,Michael Porter Jr.,SF,DEN,61,31.3,0.56,0.87,1.43,5.91,2021
66,Derrick White,PG,SA,36,29.6,1.37,0.03,1.41,3.41,2021
68,Deandre Ayton,C,PHX,69,30.7,-1.84,3.22,1.38,6.33,2021
70,Jerami Grant,SF,DET,54,33.9,-0.02,1.37,1.35,5.74,2021
72,Dejounte Murray,SG,SA,67,31.9,-1.01,2.30,1.29,6.40,2021
74,Kristaps Porzingis,C,DAL,43,30.9,0.73,0.54,1.27,3.97,2021
76,Wayne Ellington,SG,DET,46,22.0,1.15,0.09,1.24,2.99,2021
78,OG Anunoby,SF,TOR,43,33.3,-0.46,1.68,1.22,4.21,2021
80,Seth Curry,SG,PHI,57,28.7,-0.48,1.69,1.20,4.71,2021
81,Marcus Smart,PG,BOS,48,32.9,0.61,0.57,1.18,4.91,2021
83,Royce O'Neale,PF,UTAH,71,31.5,-1.65,2.81,1.16,6.56,2021
85,Gordon Hayward,SF,CHA,44,34.0,0.39,0.76,1.15,4.53,2021
87,Grayson Allen,SG,MEM,50,25.2,1.23,-0.13,1.10,3.83,2021
89,Kentavious Caldwell-Pope,SG,LAL,67,28.4,-1.73,2.80,1.07,5.20,2021
91,Reggie Jackson,PG,LAC,67,23.0,-0.12,1.15,1.04,4.39,2021
93,Kelly Olynyk,PF,MIA/HOU,70,28.5,0.31,0.64,0.95,5.48,2021
95,Richaun Holmes,F,SAC,61,29.2,-1.31,2.25,0.94,4.74,2021
97,De'Andre Hunter,SF,ATL,23,29.5,0.20,0.72,0.92,1.88,2021
99,Kendrick Nunn,G,MIA,56,29.5,0.26,0.63,0.89,4.41,2021
101,Thomas Bryant,C,WSH,10,27.1,0.66,0.22,0.87,0.78,2021
103,Paul Millsap,PF,DEN,56,20.8,-0.95,1.79,0.84,2.85,2021
105,Mike Muscala,C,OKC,35,18.4,1.35,-0.59,0.76,2.05,2021
107,Al Horford,C,OKC,28,27.9,-0.57,1.31,0.74,1.84,2021
109,Ivica Zubac,C,LAC,72,22.3,-0.67,1.37,0.70,4.37,2021
111,Khyri Thomas,SG,HOU,5,30.6,2.01,-1.35,0.66,0.47,2021
113,Sam Merrill,SG,MIL,30,7.8,1.70,-1.07,0.64,0.61,2021
115,Aaron Gordon,PF,ORL/DEN,50,27.7,-1.57,2.11,0.54,3.05,2021
117,Nicolas Batum,PF,LAC,67,27.4,-0.49,0.99,0.50,4.54,2021
119,Mychal Mulder,G,GS,60,12.8,1.44,-0.98,0.47,2.07,2021
82,Mason Plumlee,C,DET,56,26.8,-1.37,2.54,1.17,4.17,2021
