rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
84,Draymond Green,PF,GS,63,31.5,-0.52,1.68,1.16,5.86,2021
86,Caris LeVert,SG,BKN/IND,47,31.6,1.41,-0.27,1.14,4.47,2021
88,Nikola Vucevic,C,ORL/CHI,70,33.5,-0.25,1.33,1.08,6.78,2021
90,Norman Powell,G,TOR/POR,69,32.0,0.70,0.36,1.06,6.34,2021
92,D'Angelo Russell,PG,MIN,42,28.5,2.58,-1.60,0.98,3.56,2021
94,Harrison Barnes,SF,SAC,58,36.2,-0.93,1.87,0.94,5.72,2021
96,Malik Beasley,SG,MIN,37,32.8,1.16,-0.22,0.94,3.36,2021
98,Ricky Rubio,PG,MIN,68,26.1,0.05,0.86,0.91,4.89,2021
100,Dennis Schroder,PG,LAL,61,32.1,-0.62,1.49,0.88,5.14,2021
102,Shai Gilgeous-Alexander,PG,OKC,35,33.7,0.92,-0.07,0.86,3.06,2021
104,Kevin Huerter,SG,ATL,69,30.8,-0.31,1.12,0.81,5.76,2021
106,Chris Boucher,PF,TOR,60,24.2,1.24,-0.50,0.74,4.18,2021
108,Dorian Finney-Smith,PF,DAL,60,32.0,-0.93,1.64,0.71,4.68,2021
110,RJ Barrett,SG,NY,72,34.9,-2.32,3.00,0.68,5.71,2021
112,Saddiq Bey,SF,DET,70,27.3,-0.40,1.05,0.66,4.84,2021
114,LaMelo Ball,PG,CHA,51,28.8,2.96,-2.37,0.60,3.99,2021
116,Luguentz Dort,G,OKC,52,29.7,-1.65,2.17,0.52,3.50,2021
118,Eric Gordon,SG,HOU,27,29.2,2.48,-2.00,0.48,2.10,2021
120,De'Anthony Melton,SG,MEM,52,20.1,2.20,-1.75,0.45,3.06,2021
121,Ja Morant,PG,MEM,63,32.6,1.35,-0.94,0.41,4.62,2021
123,Ty Jerome,SG,OKC,33,23.9,2.55,-2.17,0.37,2.04,2021
125,Doug McDermott,SF,IND,66,24.5,1.37,-1.03,0.34,3.90,2021
127,Mason Jones,G,HOU/PHI,32,10.4,1.89,-1.55,0.34,0.88,2021
129,Davis Bertans,SF,WSH,57,25.7,2.14,-1.82,0.32,3.64,2021
131,Serge Ibaka,F,LAC,41,23.3,-0.98,1.26,0.29,1.93,2021
133,Kyle Kuzma,SF,LAL,68,28.7,0.07,0.18,0.24,4.44,2021
135,Cameron Johnson,SF,PHX,60,24.0,0.67,-0.46,0.21,3.28,2021
137,Tim Hardaway Jr.,SF,DAL,70,28.4,1.49,-1.33,0.16,4.35,2021
139,Cameron Payne,PG,PHX,60,18.0,2.23,-2.10,0.13,2.56,2021
141,John Wall,PG,HOU,40,32.2,0.21,-0.13,0.08,2.46,2021
143,Ersan Ilyasova,PF,UTAH,17,8.7,1.14,-1.10,0.04,0.34,2021
145,Isaiah Joe,SG,PHI,41,9.3,0.99,-0.97,0.03,0.83,2021
147,Kevin Love,PF,CLE,25,24.9,0.79,-0.78,0.01,1.13,2021
149,Monte Morris,PG,DEN,47,25.4,0.31,-0.33,-0.01,2.39,2021
151,Will Barton,G,DEN,56,31.0,-1.79,1.71,-0.08,2.96,2021
153,Lauri Markkanen,PF,CHI,51,25.8,0.61,-0.74,-0.12,2.52,2021
155,Oshae Brissett,SF,IND,21,24.7,0.16,-0.30,-0.14,0.82,2021
157,Furkan Korkmaz,SG,PHI,55,19.3,1.49,-1.64,-0.15,2.14,2021
159,Darius Miller,SF,OKC,18,10.9,1.28,-1.45,-0.16,0.36,2021
122,Georges Niang,SF,UTAH,72,16.0,0.69,-0.28,0.40,2.91,2021
124,Kelan Martin,SG,IND,35,9.2,1.16,-0.81,0.35,0.87,2021
126,Jae'Sean Tate,SF,HOU,70,29.2,-1.31,1.65,0.34,4.55,2021
128,Jarrett Allen,C,BKN/CLE,63,29.6,-0.90,1.21,0.32,4.06,2021
130,Eric Bledsoe,SG,NO,71,29.7,-0.86,1.14,0.29,4.29,2021
132,Jakob Poeltl,C,SA,69,26.7,-1.64,1.92,0.28,4.02,2021
134,Justin Holiday,SF,IND,72,30.3,-1.06,1.29,0.23,4.71,2021
136,Max Strus,SG,MIA,39,13.0,1.65,-1.48,0.17,1.23,2021
138,Daniel Theis,C,BOS/CHI,65,24.6,-1.08,1.21,0.13,3.37,2021
140,Collin Sexton,PG,CLE,60,35.3,-0.61,0.69,0.08,3.98,2021
142,Jusuf Nurkic,C,POR,37,23.8,-1.34,1.38,0.04,1.53,2021
144,Jordan Clarkson,PG,UTAH,68,26.7,2.89,-2.85,0.04,4.19,2021
146,Trevor Ariza,SF,MIA,30,28.0,-0.61,0.63,0.02,1.58,2021
148,Daniel Gafford,C,CHI/WSH,54,14.6,0.63,-0.64,-0.01,1.74,2021
150,Keldon Johnson,SF,SA,69,28.5,-1.25,1.22,-0.03,3.49,2021
152,Miles Bridges,SF,CHA,66,29.3,0.92,-1.04,-0.12,3.82,2021
154,Robert Covington,PF,POR,70,32.0,-3.26,3.12,-0.14,3.53,2021
156,Rudy Gay,SF,SA,63,21.6,0.51,-0.65,-0.15,2.82,2021
158,Gary Trent Jr.,SG,POR/TOR,58,31.1,-1.28,1.13,-0.15,2.88,2021
160,Rodney McGruder,G,DET,16,12.1,0.97,-1.14,-0.17,0.40,2021
161,Carsen Edwards,PG,BOS,31,8.9,1.16,-1.40,-0.25,0.50,2021
163,Langston Galloway,SG,PHX,40,11.0,0.61,-0.92,-0.30,0.78,2021
165,Kyle Guy,SG,SAC,31,7.6,0.91,-1.25,-0.35,0.42,2021
167,Tyler Johnson,G,BKN,39,17.5,0.86,-1.21,-0.36,1.18,2021
169,David Nwaba,SF,HOU,30,22.6,0.23,-0.61,-0.38,1.22,2021
171,Donta Hall,F,ORL,13,13.8,-0.55,0.17,-0.39,0.26,2021
173,Jarred Vanderbilt,PF,MIN,64,17.8,-1.11,0.70,-0.41,1.79,2021
175,Goran Dragic,PG,MIA,50,26.7,1.50,-1.99,-0.49,2.11,2021
177,Juan Toscano-Anderson,F,GS,53,20.9,-0.30,-0.20,-0.50,1.64,2021
179,Immanuel Quickley,SG,NY,64,19.4,1.65,-2.18,-0.53,1.94,2021
181,PJ Dozier,G,DEN,50,21.8,-0.82,0.29,-0.54,1.63,2021
183,Jeff Green,PF,BKN,68,27.0,-0.63,0.07,-0.56,2.47,2021
185,Landry Shamet,SG,BKN,61,23.0,1.30,-1.89,-0.59,1.98,2021
187,Cody Zeller,C,CHA,48,20.9,0.49,-1.10,-0.61,1.47,2021
189,Markieff Morris,PF,LAL,61,19.7,-0.78,0.16,-0.63,1.74,2021
191,Bruce Brown,SF,BKN,65,22.3,-1.01,0.38,-0.63,1.79,2021
193,Facundo Campazzo,G,DEN,65,21.9,-0.42,-0.23,-0.65,1.89,2021
195,Maxi Kleber,PF,DAL,50,26.8,-2.02,1.34,-0.69,1.67,2021
197,Marc Gasol,C,LAL,52,19.1,-2.07,1.37,-0.70,1.11,2021
199,Blake Griffin,PF,DET/BKN,46,25.8,-0.76,0.05,-0.71,1.38,2021
162,Bryn Forbes,SG,MIL,70,19.3,1.98,-2.28,-0.30,2.62,2021
164,Desmond Bane,SG,MEM,68,22.3,0.59,-0.89,-0.30,2.65,2021
166,Alize Johnson,F,BKN,18,10.5,0.25,-0.60,-0.35,0.36,2021
168,Jarrell Brantley,PF,UTAH,28,4.9,1.32,-1.68,-0.36,0.26,2021
170,Cameron Oliver,F,HOU,4,21.8,0.47,-0.85,-0.38,0.10,2021
172,Frank Jackson,G,DET,40,18.5,1.23,-1.64,-0.41,1.30,2021
174,Justin Robinson,F,OKC,9,9.8,0.43,-0.90,-0.47,0.13,2021
176,Jaxson Hayes,C,NO,60,16.1,0.45,-0.94,-0.50,1.57,2021
178,Brandon Clarke,PF,MEM,59,24.0,-0.20,-0.32,-0.52,2.24,2021
180,James Ennis III,F,ORL,41,24.0,-1.47,0.94,-0.53,1.25,2021
182,Jevon Carter,PG,PHX,60,12.0,1.04,-1.59,-0.54,1.15,2021
184,Garrett Temple,SF,CHI,56,27.3,-1.03,0.44,-0.59,2.18,2021
186,Darius Bazley,PF,OKC,55,31.2,-2.22,1.62,-0.60,2.20,2021
188,Ben McLemore,SG,HOU/LAL,53,17.1,1.26,-1.87,-0.61,1.45,2021
190,Patrick Patterson,PF,LAC,38,15.3,-0.33,-0.30,-0.63,0.75,2021
192,Marvin Bagley III,PF,SAC,43,25.9,-1.00,0.36,-0.64,1.33,2021
194,Damion Lee,SG,GS,57,18.9,0.67,-1.34,-0.67,1.61,2021
196,Paul Watson,SG,TOR,27,11.0,0.65,-1.34,-0.69,0.44,2021
198,Svi Mykhailiuk,SG,DET/OKC,66,20.1,0.67,-1.37,-0.70,1.77,2021
200,Malachi Flynn,PG,TOR,47,19.7,-0.19,-0.53,-0.72,1.16,2021
201,Malik Monk,SG,CHA,42,20.9,2.11,-2.84,-0.73,1.32,2021
203,Gabriel Deck,SF,OKC,10,21.2,-0.06,-0.67,-0.73,0.25,2021
205,Elijah Hughes,F,UTAH,18,3.6,1.24,-1.97,-0.73,0.08,2021
207,Rui Hachimura,PF,WSH,57,31.5,-1.49,0.75,-0.74,2.09,2021
209,Alfonzo McKinnie,F,LAL,39,6.6,0.08,-0.87,-0.79,0.34,2021
211,Montrezl Harrell,C,LAL,69,22.9,0.98,-1.79,-0.81,2.20,2021
213,Armoni Brooks,G,HOU,20,26.0,1.24,-2.06,-0.81,0.66,2021
215,Kent Bazemore,SF,GS,67,19.9,-0.23,-0.60,-0.82,1.66,2021
217,DeMar DeRozan,SF,SA,61,33.7,-0.74,-0.10,-0.83,2.16,2021
219,Josh Hart,SG,NO,47,28.7,0.77,-1.60,-0.83,1.70,2021
221,Tyus Jones,PG,MEM,70,17.5,0.71,-1.55,-0.84,1.61,2021
223,Edmond Sumner,PG,IND,53,16.2,0.80,-1.65,-0.85,1.01,2021
225,Patty Mills,PG,SA,68,24.8,1.78,-2.65,-0.87,2.18,2021
227,Pat Connaughton,SG,MIL,69,22.8,0.39,-1.27,-0.88,1.99,2021
229,Shake Milton,SG,PHI,63,23.2,1.06,-1.96,-0.90,1.79,2021
231,Abdel Nader,SF,PHX,24,14.8,0.10,-1.02,-0.92,0.46,2021
233,Coby White,PG,CHI,69,31.2,0.31,-1.24,-0.93,2.28,2021
235,Alex Len,C,TOR/WSH,64,15.3,-0.88,-0.07,-0.94,1.00,2021
237,Kenrich Williams,SF,OKC,66,21.6,0.24,-1.20,-0.96,1.57,2021
239,Spencer Dinwiddie,PG,BKN,3,21.3,0.61,-1.58,-0.97,0.07,2021
202,Goga Bitadze,C,IND,45,12.5,0.12,-0.85,-0.73,0.82,2021
204,Kelly Oubre Jr.,SG,GS,55,30.7,-1.90,1.17,-0.73,2.02,2021
206,Steven Adams,C,NO,58,27.7,-2.85,2.11,-0.74,1.73,2021
208,Darius Garland,PG,CLE,54,33.1,-0.05,-0.71,-0.76,2.09,2021
210,Willie Cauley-Stein,C,DAL,53,17.1,-0.94,0.14,-0.80,1.12,2021
212,Henry Ellenson,PF,TOR,2,19.0,0.29,-1.10,-0.81,0.06,2021
214,Frank Kaminsky,PF,PHX,47,15.2,-0.64,-0.18,-0.82,0.83,2021
216,Killian Tillie,SF,MEM,18,10.1,-0.24,-0.59,-0.83,0.24,2021
218,Tyler Herro,PG,MIA,54,30.3,0.52,-1.35,-0.83,1.96,2021
220,Josh Richardson,SG,DAL,59,30.3,-1.37,0.53,-0.84,1.86,2021
222,Justin James,G,SAC,36,8.6,0.31,-1.15,-0.85,0.41,2021
224,Tyrese Maxey,PG,PHI,61,15.3,-0.04,-0.82,-0.86,1.03,2021
226,Dewayne Dedmon,C,MIA,16,13.1,0.50,-1.38,-0.88,0.29,2021
228,Yogi Ferrell,PG,CLE/LAC,10,13.7,0.08,-0.97,-0.89,0.13,2021
230,Bobby Portis,F,MIL,66,20.8,0.80,-1.71,-0.91,1.74,2021
232,Jeremy Lamb,SG,IND,36,21.3,0.88,-1.80,-0.92,0.92,2021
234,Robert Franks,G,ORL,7,14.4,-0.06,-0.88,-0.94,0.11,2021
236,Jordan Nwora,SF,MIL,30,9.1,0.95,-1.90,-0.95,0.29,2021
238,Robert Williams III,C,BOS,52,18.9,0.84,-1.81,-0.97,1.13,2021
240,Matisse Thybulle,SG,PHI,65,20.0,-1.24,0.27,-0.97,1.40,2021
241,Jalen Harris,G,TOR,13,13.2,0.98,-1.96,-0.97,0.21,2021
243,Matt Thomas,SG,TOR/UTAH,45,7.3,0.77,-1.76,-1.00,0.40,2021
245,Josh Jackson,SG,DET,62,25.2,0.10,-1.10,-1.01,1.59,2021
247,JJ Redick,SG,NO/DAL,44,16.4,1.01,-2.03,-1.02,0.80,2021
249,Justin Jackson,SF,OKC/MIL,34,17.0,0.61,-1.63,-1.02,0.55,2021
251,Willy Hernangomez,C,NO,47,18.0,-0.28,-0.76,-1.04,0.84,2021
253,Nic Claxton,C,BKN,32,18.6,-0.35,-0.70,-1.05,0.55,2021
255,Luke Kornet,C,CHI/BOS,31,11.2,-0.64,-0.44,-1.08,0.37,2021
257,Nickeil Alexander-Walker,SG,NO,46,21.9,0.42,-1.52,-1.10,0.90,2021
259,Robin Lopez,C,WSH,71,19.1,-0.11,-1.00,-1.11,1.30,2021
261,Gorgui Dieng,C,MEM/SA,38,14.6,0.58,-1.70,-1.12,0.55,2021
263,Jahmi'us Ramsey,SG,SAC,13,7.2,0.01,-1.14,-1.13,0.08,2021
265,Anthony Edwards,SG,MIN,72,32.1,-0.22,-0.92,-1.14,1.93,2021
267,Mamadi Diakite,F,MIL,14,10.1,-0.97,-0.18,-1.14,0.11,2021
269,Dean Wade,PF,CLE,63,19.2,-0.36,-0.79,-1.16,1.04,2021
271,Kevon Looney,F,GS,61,19.0,-2.63,1.47,-1.16,0.92,2021
273,Raul Neto,PG,WSH,64,21.9,0.39,-1.58,-1.19,1.25,2021
275,Nerlens Noel,C,NY,64,24.2,-3.45,2.25,-1.21,1.05,2021
277,Terence Davis,SG,TOR/SAC,61,17.6,1.79,-3.02,-1.23,0.92,2021
279,JaMychal Green,F,DEN,58,19.3,-0.04,-1.23,-1.27,0.85,2021
242,Alec Burks,SG,NY,49,25.6,0.54,-1.53,-0.98,1.27,2021
244,George Hill,PG,OKC/PHI,30,22.4,-1.24,0.24,-1.00,0.59,2021
246,Skylar Mays,SG,ATL,33,8.2,0.27,-1.28,-1.01,0.27,2021
248,Enes Freedom,C,POR,72,24.4,-0.97,-0.05,-1.02,1.57,2021
250,DeAndre Jordan,C,BKN,57,21.9,-1.15,0.13,-1.02,1.12,2021
252,Delon Wright,SG,DET/SAC,63,27.7,-1.24,0.19,-1.05,1.60,2021
254,Robert Woodard II,F,SAC,13,3.5,-0.64,-0.42,-1.06,0.06,2021
256,Jalen Brunson,PG,DAL,68,25.0,1.10,-2.19,-1.08,1.62,2021
258,Danilo Gallinari,PF,ATL,51,24.0,1.47,-2.57,-1.10,1.22,2021
260,Cassius Winston,PG,WSH,22,4.5,0.13,-1.24,-1.11,0.10,2021
262,Mo Bamba,C,ORL,46,15.8,0.35,-1.48,-1.13,0.67,2021
264,Isaiah Stewart,C,DET,68,21.4,-0.78,-0.35,-1.14,1.39,2021
266,Jaylen Hoard,F,OKC,19,16.8,-0.51,-0.63,-1.14,0.27,2021
268,Alex Caruso,SG,LAL,58,21.0,-0.08,-1.06,-1.15,1.18,2021
270,Trey Lyles,PF,SA,23,15.6,-0.36,-0.80,-1.16,0.32,2021
272,Yuta Watanabe,SF,TOR,50,14.5,-0.39,-0.78,-1.17,0.67,2021
274,Didi Louzada,G,NO,3,18.7,-0.28,-0.90,-1.19,0.04,2021
276,Naz Reid,C,MIN,70,19.2,0.13,-1.35,-1.22,1.15,2021
278,Wesley Matthews,SG,LAL,58,19.5,-1.12,-0.12,-1.24,0.89,2021
280,Louis King,SF,SAC,6,14.2,-0.03,-1.24,-1.27,0.04,2021
281,Moritz Wagner,C,WSH/BOS/ORL,45,16.0,-0.72,-0.56,-1.28,0.47,2021
283,Derrick Jones Jr.,SF,POR,58,22.7,-2.68,1.40,-1.28,0.81,2021
285,Boban Marjanovic,C,DAL,33,8.2,-0.36,-0.95,-1.30,0.20,2021
287,Chuma Okeke,PF,ORL,45,25.2,-1.06,-0.26,-1.32,0.79,2021
289,Jake Layman,F,MIN,45,13.9,-0.41,-0.92,-1.32,0.44,2021
291,Garrison Mathews,SG,WSH,64,16.2,0.05,-1.39,-1.34,0.70,2021
293,Payton Pritchard,PG,BOS,66,19.2,0.97,-2.33,-1.36,0.92,2021
295,Cedi Osman,SF,CLE,59,25.6,0.05,-1.42,-1.36,0.94,2021
297,Andre Drummond,C,CLE/LAL,46,27.0,-1.52,0.14,-1.38,0.67,2021
299,Paul Reed,SF,PHI,26,6.8,-0.40,-1.01,-1.41,0.11,2021
301,Gary Harris,SG,DEN/ORL,39,27.7,-2.57,1.14,-1.43,0.51,2021
303,Eric Paschall,F,GS,40,17.4,-0.31,-1.12,-1.43,0.42,2021
305,Sterling Brown,SF,HOU,51,24.1,0.09,-1.53,-1.44,0.74,2021
307,CJ Elleby,SG,POR,30,6.4,-1.07,-0.39,-1.46,0.10,2021
309,Miye Oni,SG,UTAH,54,9.6,-1.17,-0.31,-1.48,0.27,2021
311,Juancho Hernangomez,PF,MIN,52,17.3,0.52,-2.02,-1.49,0.50,2021
313,Luke Kennard,SG,LAC,63,19.6,0.35,-1.88,-1.53,0.59,2021
315,P.J. Washington,PF,CHA,64,30.5,-2.05,0.50,-1.55,0.78,2021
317,Jaden McDaniels,PF,MIN,63,24.0,-1.06,-0.50,-1.56,0.67,2021
319,Tremont Waters,G,BOS,26,9.2,0.93,-2.50,-1.58,0.09,2021
282,Denzel Valentine,G,CHI,62,16.7,0.63,-1.92,-1.28,0.87,2021
284,Dakota Mathias,G,PHI,8,15.4,-0.12,-1.16,-1.28,0.09,2021
286,Deni Avdija,SF,WSH,54,23.3,-1.39,0.07,-1.32,0.87,2021
288,Dario Saric,PF,PHX,50,17.4,0.45,-1.77,-1.32,0.65,2021
290,John Konchar,SG,MEM,43,13.4,0.04,-1.37,-1.34,0.42,2021
292,Amir Coffey,SG,LAC,44,9.0,-0.59,-0.76,-1.35,0.27,2021
294,Bol Bol,C,DEN,32,5.0,-0.45,-0.91,-1.36,0.11,2021
296,Xavier Tillman,F,MEM,59,18.4,-0.36,-1.01,-1.38,0.73,2021
298,Dwight Powell,C,DAL,58,16.7,-1.01,-0.38,-1.38,0.57,2021
300,Anthony Gill,PF,WSH,26,8.4,-0.23,-1.20,-1.42,0.13,2021
302,Taurean Prince,PF,BKN/CLE,41,22.1,0.59,-2.02,-1.43,0.56,2021
304,Damyean Dotson,SG,CLE,46,19.7,-0.56,-0.88,-1.44,0.53,2021
306,Thaddeus Young,PF,CHI,68,24.3,0.56,-2.01,-1.45,0.92,2021
308,Anthony Lamb,F,HOU,24,17.3,-0.37,-1.10,-1.47,0.23,2021
310,Jaren Jackson Jr.,PF,MEM,11,23.5,1.27,-2.75,-1.48,0.14,2021
